dataset,level,instance,scenario_seed,algorithm_seed,event_type,event_size,strategy,seed_index,checkpoint_fe,actual_fe,warm_start_fe,local_search_fe,response_time,fitness,distance,total_late,is_feasible,reference_cost,gap_to_reference,overtake_repair,first_feasible_fe
addition_instances,M1,9,6109,6809008,add,1,WarmPSO,8,1500,1487,77,0,0.2870451,5997.28346021439,5997.28346021439,0,1,3489.87731324602,0.718479740663484,1,78
addition_instances,M1,9,6109,6809008,add,1,WarmPSO,8,2500,2477,77,0,0.2870451,5973.83676295941,5973.83676295941,0,1,3489.87731324602,0.711761253120671,1,78
addition_instances,M1,9,6109,6809008,add,1,WarmPSO_Relocate,8,500,492,77,175,0.3423514,4835.88118424544,4835.88118424544,0,1,3489.87731324602,0.385688020003051,1,78
addition_instances,M1,9,6109,6809008,add,1,WarmPSO_Relocate,8,1000,987,77,400,0.3423514,4322.67820404991,4322.67820404991,0,1,3489.87731324602,0.238633285944738,1,78
addition_instances,M1,9,6109,6809008,add,1,WarmPSO_Relocate,8,1500,1482,77,625,0.3423514,3532.66845439459,3532.66845439459,0,1,3489.87731324602,0.0122615030007368,1,78
addition_instances,M1,9,6109,6809008,add,1,WarmPSO_Relocate,8,2500,2472,77,1075,0.3423514,3482.67700246237,3482.67700246237,0,1,3489.87731324602,-0.00206319882831497,1,78
addition_instances,M1,9,6109,6809009,add,1,Repair,9,500,19,0,0,0.0015669,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809009,add,1,Repair,9,1000,19,0,0,0.0015669,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809009,add,1,Repair,9,1500,19,0,0,0.0015669,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809009,add,1,Repair,9,2500,19,0,0,0.0015669,6582.56131296826,6582.56131296826,0,1,3489.87731324602,0.886187026685377,0,NaN
addition_instances,M1,9,6109,6809009,add,1,WarmPSO,9,500,497,77,0,0.2913215,6369.07954153926,6369.07954153926,0,1,3489.87731324602,0.825015314253333,1,78
addition_instances,M1,9,6109,6809009,add,1,WarmPSO,9,1000,977,77,0,0.2913215,6188.10264105132,6188.10264105132,0,1,3489.87731324602,0.773157645847332,1,78
addition_instances,M1,9,6109,6809009,add,1,WarmPSO,9,1500,1487,77,0,0.2913215,6188.10264105132,6188.10264105132,0,1,3489.87731324602,0.773157645847332,1,78
addition_instances,M1,9,6109,6809009,add,1,WarmPSO,9,2500,2477,77,0,0.2913215,6096.06741923005,6096.06741923005,0,1,3489.87731324602,0.746785595038568,1,78
addition_instances,M1,9,6109,6809009,add,1,WarmPSO_Relocate,9,500,492,77,175,0.3392843,4951.09202669021,4951.09202669021,0,1,3489.87731324602,0.418700883236804,1,78
addition_instances,M1,9,6109,6809009,add,1,WarmPSO_Relocate,9,1000,987,77,400,0.3392843,4035.78339893394,4035.78339893394,0,1,3489.87731324602,0.156425580812226,1,78
addition_instances,M1,9,6109,6809009,add,1,WarmPSO_Relocate,9,1500,1482,77,625,0.3392843,3716.31063492389,3716.31063492389,0,1,3489.87731324602,0.0648828888105694,1,78
addition_instances,M1,9,6109,6809009,add,1,WarmPSO_Relocate,9,2500,2472,77,1075,0.3392843,3422.06591685578,3422.06591685578,0,1,3489.87731324602,-0.0194308826080671,1,78
