stress_level,instance,scenario_seed,strategy,budget,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,is_feasible,gap_to_reference,route_disruption
Far,4,8204,Restart,2500,0,2490,2490,0.2590107,4089.41723957173,4089.41723957173,0,1,-0.271542349734397,0.705882352941176
Far,4,8204,WarmStart,500,200,300,500,0.0513134,4721.84429976682,4721.84429976682,0,1,-0.158886608526062,0
Far,4,8204,WarmStart,1000,200,780,980,0.1023575,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,4,8204,WarmStart,1500,200,1290,1490,0.1954423,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,4,8204,WarmStart,2500,200,2280,2480,0.2442371,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,4,8204,Repair,500,0,38,38,0.0036764,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,4,8204,Repair,1000,0,38,38,0.0033793,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,4,8204,Repair,1500,0,38,38,0.0036072,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,4,8204,Repair,2500,0,38,38,0.0032986,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,5,8205,Restart,500,0,480,480,0.0493333,6276.12652621149,6276.12652621149,0,1,0.117981392999763,0.647058823529412
Far,5,8205,Restart,1000,0,990,990,0.1002638,5740.17565172138,5740.17565172138,0,1,0.0225111849439698,0.764705882352941
Far,5,8205,Restart,1500,0,1500,1500,0.1637871,5233.25275919697,5233.25275919697,0,1,-0.0677881994232874,0.411764705882353
Far,5,8205,Restart,2500,0,2490,2490,0.2493263,4766.08204960741,4766.08204960741,0,1,-0.151006432595348,0.647058823529412
Far,5,8205,WarmStart,500,200,300,500,0.0516893,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,5,8205,WarmStart,1000,200,780,980,0.0984715,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,5,8205,WarmStart,1500,200,1290,1490,0.1439025,4598.10628105111,4598.10628105111,0,1,-0.180928357039746,0
Far,5,8205,WarmStart,2500,200,2280,2480,0.2438981,4721.84429976682,4721.84429976682,0,1,-0.158886608526062,0
