instance,nCustomers,method,seed,budget_factor,budget_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost,gap_to_bks,mode
rc_201.1,19,LateOnly,940108,50,950,950,0,1,382,462.3823,0.0401365456426867,late
rc_201.1,19,Propagation,940108,50,950,950,0,1,473,464.3138,0.0444814864804068,propagation
rc_201.1,19,StateSwitch,940108,50,950,950,0,1,473,507.0916,0.140710847167859,global
rc_201.1,19,PSO,940108,100,1900,1900,1706.8499,0,NaN,469.7142,NaN,none
rc_201.1,19,Global,940108,100,1900,1900,0,1,1173,445.3805,0.00189071849552338,global
rc_201.1,19,LateOnly,940108,100,1900,1900,0,1,382,453.1696,0.0194124263283395,late
rc_201.1,19,Propagation,940108,100,1900,1900,0,1,473,453.6728,0.0205443829576643,propagation
rc_201.1,19,StateSwitch,940108,100,1900,1900,0,1,473,444.5425,5.62379088495462e-06,global
rc_201.1,19,PSO,940109,25,475,475,903.2543,0,NaN,592.3599,NaN,none
rc_201.1,19,Global,940109,25,475,475,1021.0252,0,NaN,620.5147,NaN,global
rc_201.1,19,LateOnly,940109,25,475,475,0,1,316,533.9928,0.20122553650965,late
rc_201.1,19,Propagation,940109,25,475,475,0,1,316,533.9928,0.20122553650965,propagation
rc_201.1,19,StateSwitch,940109,25,475,475,0,1,316,541,0.216988347505286,global
rc_201.1,19,PSO,940109,50,950,950,599.0451,0,NaN,567.1112,NaN,none
rc_201.1,19,Global,940109,50,950,950,0,1,821,517.9668,0.165174787420704,global
rc_201.1,19,LateOnly,940109,50,950,950,0,1,316,459.7387,0.0341897242092949,late
rc_201.1,19,Propagation,940109,50,950,950,0,1,316,459.7387,0.0341897242092949,propagation
rc_201.1,19,StateSwitch,940109,50,950,950,0,1,316,485.1445,0.0913404867953389,global
rc_201.1,19,PSO,940109,100,1900,1900,576.0852,0,NaN,557.3398,NaN,none
rc_201.1,19,Global,940109,100,1900,1900,0,1,821,445.3805,0.00189071849552338,global
rc_201.1,19,LateOnly,940109,100,1900,1900,0,1,316,445.0082,0.00105322355693519,late
rc_201.1,19,Propagation,940109,100,1900,1900,0,1,316,445.0082,0.00105322355693519,propagation
rc_201.1,19,StateSwitch,940109,100,1900,1900,0,1,316,445.3805,0.00189071849552338,global
rc_201.1,19,PSO,940110,25,475,475,195.819,0,NaN,565.3858,NaN,none
rc_201.1,19,Global,940110,25,475,475,1057.7807,0,NaN,609.3215,NaN,global
rc_201.1,19,LateOnly,940110,25,475,475,0,1,433,516.1054,0.160987537679399,late
rc_201.1,19,Propagation,940110,25,475,475,0,1,392,536.7822,0.207500337427453,propagation
rc_201.1,19,StateSwitch,940110,25,475,475,0,1,392,536.7822,0.207500337427453,global
rc_201.1,19,PSO,940110,50,950,950,0,1,814,525.5038,0.182129392180681,none
rc_201.1,19,Global,940110,50,950,950,315.2979,0,NaN,550.3049,NaN,global
rc_201.1,19,LateOnly,940110,50,950,950,0,1,433,470.3719,0.0581092815044765,late
rc_201.1,19,Propagation,940110,50,950,950,0,1,392,516.2323,0.161273001304719,propagation
rc_201.1,19,StateSwitch,940110,50,950,950,0,1,392,444.5425,5.62379088495462e-06,global
rc_201.1,19,PSO,940110,100,1900,1900,0,1,814,522.7638,0.175965717370765,none
rc_201.1,19,Global,940110,100,1900,1900,0,1,1207,444.5425,5.62379088495462e-06,global
rc_201.1,19,LateOnly,940110,100,1900,1900,0,1,433,455.5809,0.0248366851127008,late
rc_201.1,19,Propagation,940110,100,1900,1900,0,1,392,444.5425,5.62379088495462e-06,propagation
rc_201.1,19,StateSwitch,940110,100,1900,1900,0,1,392,444.5425,5.62379088495462e-06,global
rc_201.3,31,PSO,940201,25,775,775,5202.7513,0,NaN,993.7505,NaN,none
rc_201.3,31,Global,940201,25,775,775,5578.3961,0,NaN,1035.9712,NaN,global
rc_201.3,31,LateOnly,940201,25,775,775,2073.4251,0,NaN,1036.7083,NaN,late
rc_201.3,31,Propagation,940201,25,775,775,1980.2808,0,NaN,1004.3463,NaN,propagation
rc_201.3,31,StateSwitch,940201,25,775,775,1980.2808,0,NaN,1004.3463,NaN,propagation
rc_201.3,31,PSO,940201,50,1550,1550,4230.737,0,NaN,931.3799,NaN,none
rc_201.3,31,Global,940201,50,1550,1550,2247.8566,0,NaN,1030.4262,NaN,global
rc_201.3,31,LateOnly,940201,50,1550,1550,0,1,1420,844.5227,0.0681912700320006,late
rc_201.3,31,Propagation,940201,50,1550,1550,0,1,1420,825.7781,0.0444822352360835,propagation
rc_201.3,31,StateSwitch,940201,50,1550,1550,0,1,1420,825.7781,0.0444822352360835,global
rc_201.3,31,PSO,940201,100,3100,3100,4230.737,0,NaN,931.3799,NaN,none
rc_201.3,31,Global,940201,100,3100,3100,499.9121,0,NaN,836.3712,NaN,global
rc_201.3,31,LateOnly,940201,100,3100,3100,0,1,1420,809.7543,0.0242145937946648,late
rc_201.3,31,Propagation,940201,100,3100,3100,0,1,1420,823.0359,0.0410137741743715,propagation
rc_201.3,31,StateSwitch,940201,100,3100,3100,0,1,1420,804.4773,0.0175400007589075,global
rc_201.3,31,PSO,940202,25,775,775,8642.0306,0,NaN,1041.4386,NaN,none
rc_201.3,31,Global,940202,25,775,775,4922.0769,0,NaN,970.9843,NaN,global
rc_201.3,31,LateOnly,940202,25,775,775,895.4954,0,NaN,878.9046,NaN,late
rc_201.3,31,Propagation,940202,25,775,775,1419.5167,0,NaN,1005.1141,NaN,propagation
rc_201.3,31,StateSwitch,940202,25,775,775,1419.5167,0,NaN,1005.1141,NaN,propagation
rc_201.3,31,PSO,940202,50,1550,1550,7140.0088,0,NaN,961.5946,NaN,none
rc_201.3,31,Global,940202,50,1550,1550,4072.423,0,NaN,912.9264,NaN,global
rc_201.3,31,LateOnly,940202,50,1550,1550,0,1,1135,826.1347,0.0449332793665648,late
rc_201.3,31,Propagation,940202,50,1550,1550,306.9236,0,NaN,912.0308,NaN,propagation
rc_201.3,31,StateSwitch,940202,50,1550,1550,306.9236,0,NaN,912.0308,NaN,propagation
rc_201.3,31,PSO,940202,100,3100,3100,7128.7083,0,NaN,954.478,NaN,none
rc_201.3,31,Global,940202,100,3100,3100,1076.9004,0,NaN,862.7629,NaN,global
rc_201.3,31,LateOnly,940202,100,3100,3100,0,1,1135,796.9693,0.00804353600384494,late
rc_201.3,31,Propagation,940202,100,3100,3100,0,1,2750,855.7157,0.0823486927815231,propagation
rc_201.3,31,StateSwitch,940202,100,3100,3100,0,1,2750,829.5977,0.0493134415198388,global
