level,instance,scenario_seed,algorithm_seed,budget,strategy,event_time,event_size,oracle_status,reference_cost,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,obstacle_violation,is_feasible,gap_to_reference,route_disruption,gap_to_bks,bks_cost
M1,4,6104,9000,1000,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.91923314473,0,990,990,0.0795019,5196.00647255021,5196.00647255021,0,0,1,0.488861525276085,0.529411764705882,0.492942263035384,3480.38005300079
M1,4,6104,9500,1500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.91923314473,0,1500,1500,0.1210927,3851.30208770318,3851.30208770318,0,0,1,0.103550492265351,0.352941176470588,0.106575152441349,3480.38005300079
M1,4,6104,10500,2500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3489.91923314473,0,2490,2490,0.2014077,4163.87312585356,4163.87312585356,0,0,1,0.193114467036401,0.705882352941176,0.196384608130213,3480.38005300079
M1,4,6104,8500,500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.91923314473,78,420,498,0.0430265,3489.91923314473,3489.91923314473,0,0,1,0,0,0.00274084439017368,3480.38005300079
M1,4,6104,9000,1000,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.91923314473,78,900,978,0.0816803,3489.91923314473,3489.91923314473,0,0,1,0,0,0.00274084439017368,3480.38005300079
M1,4,6104,9500,1500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.91923314473,75,1410,1485,0.1166622,3489.91923314473,3489.91923314473,0,0,1,0,0,0.00274084439017368,3480.38005300079
M1,4,6104,10500,2500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3489.91923314473,77,2400,2477,0.2083795,3489.91923314473,3489.91923314473,0,0,1,0,0,0.00274084439017368,3480.38005300079
M1,4,6104,8500,500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.91923314473,0,19,19,0.0014581,3489.91923314473,3489.91923314473,0,0,1,0,0,0.00274084439017368,3480.38005300079
M1,4,6104,9000,1000,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.91923314473,0,19,19,0.0013961,3489.91923314473,3489.91923314473,0,0,1,0,0,0.00274084439017368,3480.38005300079
M1,4,6104,9500,1500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.91923314473,0,19,19,0.0013601,3489.91923314473,3489.91923314473,0,0,1,0,0,0.00274084439017368,3480.38005300079
M1,4,6104,10500,2500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3489.91923314473,0,19,19,0.0013785,3489.91923314473,3489.91923314473,0,0,1,0,0,0.00274084439017368,3480.38005300079
M1,5,6105,8600,500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.01893669433,0,480,480,0.03965,5673.47556285412,5673.47556285412,0,0,1,0.62562887645186,0.647058823529412,0.62562887645186,3490.01893669433
M1,5,6105,9100,1000,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.01893669433,0,990,990,0.0799977,5691.54161909521,5691.54161909521,0,0,1,0.630805368777199,0.470588235294118,0.630805368777201,3490.01893669433
M1,5,6105,9600,1500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.01893669433,0,1500,1500,0.1214638,4840.11769238884,4840.11769238884,0,0,1,0.386845681981682,0.529411764705882,0.386845681981684,3490.01893669433
M1,5,6105,10600,2500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.01893669433,0,2490,2490,0.1986432,4141.93577757462,4141.93577757462,0,0,1,0.186794642867401,0.470588235294118,0.186794642867403,3490.01893669433
M1,5,6105,8600,500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.01893669433,78,420,498,0.0439078,3490.01893669433,3490.01893669433,0,0,1,0,0,0,3490.01893669433
M1,5,6105,9100,1000,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.01893669433,77,900,977,0.0829891,3490.01893669433,3490.01893669433,0,0,1,0,0,0,3490.01893669433
M1,5,6105,9600,1500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.01893669433,76,1410,1486,0.1268161,3490.01893669433,3490.01893669433,0,0,1,0,0,0,3490.01893669433
M1,5,6105,10600,2500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.01893669433,76,2400,2476,0.1983401,3490.01893669433,3490.01893669433,0,0,1,0,0,0,3490.01893669433
M1,5,6105,8600,500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.01893669433,0,19,19,0.0014571,3490.01893669433,3490.01893669433,0,0,1,0,0,0,3490.01893669433
M1,5,6105,9100,1000,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.01893669433,0,19,19,0.0013801,3490.01893669433,3490.01893669433,0,0,1,0,0,0,3490.01893669433
M1,5,6105,9600,1500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.01893669433,0,19,19,0.0013424,3490.01893669433,3490.01893669433,0,0,1,0,0,0,3490.01893669433
M1,5,6105,10600,2500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.01893669433,0,19,19,0.0017957,3490.01893669433,3490.01893669433,0,0,1,0,0,0,3490.01893669433
M1,6,6106,8700,500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.27893870161,0,480,480,0.0409712,4656.54074692189,4656.54074692189,0,0,1,0.33414573124466,0.529411764705882,0.417373337569998,3285.33112870971
M1,6,6106,9200,1000,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.27893870161,0,990,990,0.0808122,4527.94553912855,4527.94553912855,0,0,1,0.297301911581014,0.647058823529412,0.378231101139223,3285.33112870971
M1,6,6106,9700,1500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.27893870161,0,1500,1500,0.1216585,3285.33112870971,3285.33112870971,0,0,1,-0.058719607685033,0.705882352941176,0,3285.33112870971
M1,6,6106,10700,2500,Restart,90,1,KNOWN_FEASIBLE_WITNESS,3490.27893870161,0,2490,2490,0.2005863,3988.57292102313,3988.57292102313,0,0,1,0.142766234754547,0.705882352941176,0.21405507230853,3285.33112870971
M1,6,6106,8700,500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.27893870161,76,420,496,0.040953,3490.27893870161,3490.27893870161,0,0,1,0,0,0.062382695065624,3285.33112870971
M1,6,6106,9200,1000,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.27893870161,78,900,978,0.077901,3490.27893870161,3490.27893870161,0,0,1,0,0,0.062382695065624,3285.33112870971
M1,6,6106,9700,1500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.27893870161,78,1410,1488,0.1200459,3490.27893870161,3490.27893870161,0,0,1,0,0,0.062382695065624,3285.33112870971
M1,6,6106,10700,2500,WarmStart,90,1,KNOWN_FEASIBLE_WITNESS,3490.27893870161,77,2400,2477,0.1948146,3490.27893870161,3490.27893870161,0,0,1,0,0,0.062382695065624,3285.33112870971
M1,6,6106,8700,500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.27893870161,0,19,19,0.0014532,3490.27893870161,3490.27893870161,0,0,1,0,0,0.062382695065624,3285.33112870971
M1,6,6106,9200,1000,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.27893870161,0,19,19,0.0013698,3490.27893870161,3490.27893870161,0,0,1,0,0,0.062382695065624,3285.33112870971
M1,6,6106,9700,1500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.27893870161,0,19,19,0.001384,3490.27893870161,3490.27893870161,0,0,1,0,0,0.062382695065624,3285.33112870971
M1,6,6106,10700,2500,Repair,90,1,KNOWN_FEASIBLE_WITNESS,3490.27893870161,0,19,19,0.0014891,3490.27893870161,3490.27893870161,0,0,1,0,0,0.062382695065624,3285.33112870971
