level,instance,scenario_seed,algorithm_seed,event_index,event_time,event_type,event_size,strategy,budget,oracle_status,reference_cost,reused_legs,computed_legs,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,obstacle_violation,is_feasible,gap_to_reference,route_disruption
Mild,2,3002,8420,2,150,add,1,WarmStart,1000,UNKNOWN,,196,76,73,900,973,0.0695848,10550.8887897589,4008.22461550629,65.4266417425264,0,0,NaN,0.142857142857143
Mild,2,3002,8920,2,150,add,1,WarmStart,1500,UNKNOWN,,196,76,74,1410,1484,0.1083522,10971.1822639555,4054.92389041702,69.1625837353847,0,0,NaN,0.142857142857143
Mild,2,3002,9920,2,150,add,1,WarmStart,2500,UNKNOWN,,196,76,74,2400,2474,0.1681801,11505.9573744319,4114.34334713662,73.916140272953,0,0,NaN,0.0714285714285714
Mild,2,3002,7920,2,150,add,1,Repair,500,UNKNOWN,,196,76,0,16,16,0.0023862,11940.5725735633,3961.67784343428,79.7889473012901,0,0,NaN,0
Mild,2,3002,8420,2,150,add,1,Repair,1000,UNKNOWN,,196,76,0,16,16,0.0010649,11940.5725735633,3961.67784343428,79.7889473012901,0,0,NaN,0
Mild,2,3002,8920,2,150,add,1,Repair,1500,UNKNOWN,,196,76,0,16,16,0.0010099,11940.5725735633,3961.67784343428,79.7889473012901,0,0,NaN,0
Mild,2,3002,9920,2,150,add,1,Repair,2500,UNKNOWN,,196,76,0,16,16,0.0009952,11940.5725735633,3961.67784343428,79.7889473012901,0,0,NaN,0
Moderate,1,3001,7810,1,90,cancel,2,Restart,500,FEASIBLE,3364.84268709926,256,50,0,480,480,0.0358748,15173.2061412562,5634.95143330342,95.3825470795281,0,0,3.50933596373763,0.625
Moderate,1,3001,8310,1,90,cancel,2,Restart,1000,FEASIBLE,3364.84268709926,256,50,0,990,990,0.0715011,12732.2980514984,5056.06670012511,76.7623135137326,0,0,2.78392074622501,0.5
Moderate,1,3001,8810,1,90,cancel,2,Restart,1500,FEASIBLE,3364.84268709926,256,50,0,1500,1500,0.1104773,4868.5093915705,3877.78637278714,9.90723018783365,0,0,0.446875781217432,0.5
Moderate,1,3001,9810,1,90,cancel,2,Restart,2500,FEASIBLE,3364.84268709926,256,50,0,2490,2490,0.1841421,6340.80923038276,4469.33492984628,18.7147430053648,0,0,0.884429621240037,0.75
Moderate,1,3001,7810,1,90,cancel,2,WarmStart,500,FEASIBLE,3364.84268709926,256,50,49,450,499,0.0368036,10909.5004605463,4690.15489758223,62.1934556296406,0,0,2.24220222905906,0.1875
Moderate,1,3001,8310,1,90,cancel,2,WarmStart,1000,FEASIBLE,3364.84268709926,256,50,49,930,979,0.0706662,10081.2608749624,4521.77473789697,55.5948613706539,0,0,1.99605711542288,0.1875
Moderate,1,3001,8810,1,90,cancel,2,WarmStart,1500,FEASIBLE,3364.84268709926,256,50,49,1440,1489,0.1068288,3983.84584267336,3700.85366300771,2.82992179665649,0,0,0.183961989648831,0.3125
Moderate,1,3001,9810,1,90,cancel,2,WarmStart,2500,FEASIBLE,3364.84268709926,256,50,49,2430,2479,0.177076,4582.02901854589,4394.92996220336,1.87099056342532,0,0,0.361736474668875,0.25
Moderate,1,3001,7810,1,90,cancel,2,Repair,500,FEASIBLE,3364.84268709926,256,50,0,1,1,0.0011209,13133.7579800861,4943.29112275079,81.9046685733527,0,0,2.90323090896363,0
Moderate,1,3001,8310,1,90,cancel,2,Repair,1000,FEASIBLE,3364.84268709926,256,50,0,1,1,9.55e-05,13133.7579800861,4943.29112275079,81.9046685733527,0,0,2.90323090896363,0
Moderate,1,3001,8810,1,90,cancel,2,Repair,1500,FEASIBLE,3364.84268709926,256,50,0,1,1,8.09e-05,13133.7579800861,4943.29112275079,81.9046685733527,0,0,2.90323090896363,0
Moderate,1,3001,9810,1,90,cancel,2,Repair,2500,FEASIBLE,3364.84268709926,256,50,0,1,1,8e-05,13133.7579800861,4943.29112275079,81.9046685733527,0,0,2.90323090896363,0
Moderate,1,3001,7820,2,150,add,2,Restart,500,UNKNOWN,,196,110,0,480,480,0.0363538,50732.8096357905,5965.70560337615,447.671040324144,0,0,NaN,0.571428571428571
Moderate,1,3001,8320,2,150,add,2,Restart,1000,UNKNOWN,,196,110,0,990,990,0.0707836,30229.245349889,3583.26421353482,266.459811363542,0,0,NaN,0.642857142857143
Moderate,1,3001,8820,2,150,add,2,Restart,1500,UNKNOWN,,196,110,0,1500,1500,0.1069338,24854.6497180808,4317.92716838431,205.367225496965,0,0,NaN,0.642857142857143
Moderate,1,3001,9820,2,150,add,2,Restart,2500,UNKNOWN,,196,110,0,2490,2490,0.1781377,29967.9693405786,4634.52931285565,253.33440027723,0,0,NaN,0.642857142857143
Moderate,1,3001,7820,2,150,add,2,WarmStart,500,UNKNOWN,,196,110,200,300,500,0.0396601,25168.8156281264,4565.02698345392,206.037886446724,0,0,NaN,0.0714285714285714
Moderate,1,3001,8320,2,150,add,2,WarmStart,1000,UNKNOWN,,196,110,200,780,980,0.0748146,25026.0157467712,4558.22698910368,204.677887576675,0,0,NaN,0.0714285714285714
Moderate,1,3001,8820,2,150,add,2,WarmStart,1500,UNKNOWN,,196,110,200,1290,1490,0.1081978,24353.3908422615,4477.49438782735,198.758964544342,0,0,NaN,0.142857142857143
Moderate,1,3001,9820,2,150,add,2,WarmStart,2500,UNKNOWN,,196,110,200,2280,2480,0.1834551,24669.9250583994,4335.22566259774,203.346993958017,0,0,NaN,0.142857142857143
Moderate,1,3001,7820,2,150,add,2,Repair,500,UNKNOWN,,196,110,0,32,32,0.0039105,26799.5056007007,4531.3255565884,222.681800441123,0,0,NaN,0
Moderate,1,3001,8320,2,150,add,2,Repair,1000,UNKNOWN,,196,110,0,32,32,0.0021151,26799.5056007007,4531.3255565884,222.681800441123,0,0,NaN,0
Moderate,1,3001,8820,2,150,add,2,Repair,1500,UNKNOWN,,196,110,0,32,32,0.0021556,26799.5056007007,4531.3255565884,222.681800441123,0,0,NaN,0
Moderate,1,3001,9820,2,150,add,2,Repair,2500,UNKNOWN,,196,110,0,32,32,0.0020257,26799.5056007007,4531.3255565884,222.681800441123,0,0,NaN,0
Moderate,2,3002,7910,1,90,cancel,2,Restart,500,FEASIBLE,3294.84254423832,225,47,0,480,480,0.0378386,3974.01873707232,3974.01873707232,0,0,1,0.206133125852,0.733333333333333
Moderate,2,3002,8410,1,90,cancel,2,Restart,1000,FEASIBLE,3294.84254423832,225,47,0,990,990,0.0713921,4651.45897621248,4648.81595373667,0.0264302247580872,0,0,0.411739381703225,0.6
Moderate,2,3002,8910,1,90,cancel,2,Restart,1500,FEASIBLE,3294.84254423832,225,47,0,1500,1500,0.1038878,13438.0930945141,5216.71877055553,82.2137432395853,0,0,3.07852360593474,0.666666666666667
Moderate,2,3002,9910,1,90,cancel,2,Restart,2500,FEASIBLE,3294.84254423832,225,47,0,2490,2490,0.1811262,3742.67834062122,3742.67834062122,0,0,1,0.135920242126907,0.666666666666667
