dataset,level,instance,scenario_seed,algorithm_seed,event_type,event_size,strategy,seed_index,checkpoint_fe,actual_fe,warm_start_fe,impact_preprocess_fe,local_search_fe,response_time,fitness,distance,total_late,is_feasible,reference_cost,gap_to_reference,overtake_repair,first_feasible_fe,impact_priority_fe,impact_global_fe,improvement_per_100_local_fe,mean_accepted_source_rank
addition_instances,M1,9,6109,6809003,add,1,WarmPSO,3,1500,1487,77,0,0,0.2109661,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,NaN,NaN,0,NaN
addition_instances,M1,9,6109,6809003,add,1,WarmPSO,3,2500,2477,77,0,0,0.2109661,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,NaN,NaN,0,NaN
addition_instances,M1,9,6109,6809003,add,1,WarmPSO_GlobalRelocate,3,500,492,77,0,175,0.2564035,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,NaN,NaN,0.186046511627907,1
addition_instances,M1,9,6109,6809003,add,1,WarmPSO_GlobalRelocate,3,1000,987,77,0,400,0.2564035,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,NaN,NaN,0.186046511627907,1
addition_instances,M1,9,6109,6809003,add,1,WarmPSO_GlobalRelocate,3,1500,1482,77,0,625,0.2564035,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,NaN,NaN,0.186046511627907,1
addition_instances,M1,9,6109,6809003,add,1,WarmPSO_GlobalRelocate,3,2500,2472,77,0,1075,0.2564035,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,NaN,NaN,0.186046511627907,1
addition_instances,M1,9,6109,6809003,add,1,WarmPSO_ImpactRelocate,3,500,457,77,20,150,0.235069,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,98,1075,0,0.186046511627907,1
addition_instances,M1,9,6109,6809003,add,1,WarmPSO_ImpactRelocate,3,1000,952,77,20,375,0.235069,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,98,1075,0,0.186046511627907,1
addition_instances,M1,9,6109,6809003,add,1,WarmPSO_ImpactRelocate,3,1500,1447,77,20,600,0.235069,3442.4591825315,3442.4591825315,0,1,3489.87731324602,-0.0135873345846693,1,98,1075,0,0.186046511627907,1
addition_instances,M1,9,6109,6809003,add,1,WarmPSO_ImpactRelocate,3,2500,2492,77,20,1075,0.235069,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,98,1075,0,0.186046511627907,1
