instance,nCustomers,method,seed,budget_factor,budget_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost,gap_to_bks,feedback_updates
rc_201.1,19,FixedRelocate,980106,50,950,950,57.1608,0,NaN,569.9526,NaN,0
rc_201.1,19,StateSwitch,980106,50,950,950,0,1,432,464.7119,0.0453770189409274,0
rc_201.1,19,Feedback,980106,50,950,950,57.1608,0,NaN,569.9526,NaN,10
rc_201.1,19,Full,980106,50,950,950,0,1,432,464.7119,0.0453770189409274,15
rc_201.1,19,PSO,980106,100,1900,1900,285,0,NaN,585.9998,NaN,0
rc_201.1,19,FixedRelocate,980106,100,1900,1900,0,1,1241,470.1647,0.0576431817159309,0
rc_201.1,19,StateSwitch,980106,100,1900,1900,0,1,432,445.3805,0.00189071849552338,0
rc_201.1,19,Feedback,980106,100,1900,1900,0,1,1241,470.1647,0.0576431817159309,15
rc_201.1,19,Full,980106,100,1900,1900,0,1,432,445.3805,0.00189071849552338,18
rc_201.1,19,PSO,980107,25,475,475,1354.3275,0,NaN,612.4711,NaN,0
rc_201.1,19,FixedRelocate,980107,25,475,475,768.4437,0,NaN,608.1124,NaN,0
rc_201.1,19,StateSwitch,980107,25,475,475,0,1,470,558.6237,0.256633148872992,0
rc_201.1,19,Feedback,980107,25,475,475,768.4437,0,NaN,608.1124,NaN,10
rc_201.1,19,Full,980107,25,475,475,0,1,470,558.6237,0.256633148872992,12
rc_201.1,19,PSO,980107,50,950,950,1257.4248,0,NaN,612.2871,NaN,0
rc_201.1,19,FixedRelocate,980107,50,950,950,337.6207,0,NaN,563.7102,NaN,0
rc_201.1,19,StateSwitch,980107,50,950,950,0,1,470,453.1696,0.0194124263283395,0
rc_201.1,19,Feedback,980107,50,950,950,337.6207,0,NaN,563.7102,NaN,20
rc_201.1,19,Full,980107,50,950,950,0,1,470,453.1696,0.0194124263283395,19
rc_201.1,19,PSO,980107,100,1900,1900,1232.4939,0,NaN,587.3562,NaN,0
rc_201.1,19,FixedRelocate,980107,100,1900,1900,0,1,1524,449.055,0.0101565663382371,0
rc_201.1,19,StateSwitch,980107,100,1900,1900,0,1,470,445.3805,0.00189071849552338,0
rc_201.1,19,Feedback,980107,100,1900,1900,0,1,1524,449.055,0.0101565663382371,30
rc_201.1,19,Full,980107,100,1900,1900,0,1,470,445.3805,0.00189071849552338,22
rc_201.1,19,PSO,980108,25,475,475,1229.7437,0,NaN,617.36,NaN,0
rc_201.1,19,FixedRelocate,980108,25,475,475,386.6924,0,NaN,520.1166,NaN,0
rc_201.1,19,StateSwitch,980108,25,475,475,7.5711,0,NaN,578.0648,NaN,0
rc_201.1,19,Feedback,980108,25,475,475,386.6924,0,NaN,520.1166,NaN,10
rc_201.1,19,Full,980108,25,475,475,7.5711,0,NaN,578.0648,NaN,11
rc_201.1,19,PSO,980108,50,950,950,1229.7437,0,NaN,612.4041,NaN,0
rc_201.1,19,FixedRelocate,980108,50,950,950,0,1,911,537.5693,0.209270931749674,0
rc_201.1,19,StateSwitch,980108,50,950,950,0,1,476,483.587,0.087836865074009,0
rc_201.1,19,Feedback,980108,50,950,950,0,1,911,537.5693,0.209270931749674,19
rc_201.1,19,Full,980108,50,950,950,0,1,476,483.587,0.087836865074009,17
rc_201.1,19,PSO,980108,100,1900,1900,1229.7437,0,NaN,612.4041,NaN,0
rc_201.1,19,FixedRelocate,980108,100,1900,1900,0,1,911,450.4244,0.0132370540333828,0
rc_201.1,19,StateSwitch,980108,100,1900,1900,0,1,476,444.5425,5.62379088495462e-06,0
rc_201.1,19,Feedback,980108,100,1900,1900,0,1,911,450.4244,0.0132370540333828,22
rc_201.1,19,Full,980108,100,1900,1900,0,1,476,444.5425,5.62379088495462e-06,20
rc_201.1,19,PSO,980109,25,475,475,0,1,439,534.8221,0.203091060422009,0
rc_201.1,19,FixedRelocate,980109,25,475,475,385.7653,0,NaN,656.8422,NaN,0
rc_201.1,19,StateSwitch,980109,25,475,475,0,1,316,499.1365,0.122815719620281,0
rc_201.1,19,Feedback,980109,25,475,475,385.7653,0,NaN,656.8422,NaN,10
rc_201.1,19,Full,980109,25,475,475,0,1,316,499.1365,0.122815719620281,11
rc_201.1,19,PSO,980109,50,950,950,0,1,439,527.841,0.187386961803212,0
rc_201.1,19,FixedRelocate,980109,50,950,950,229.3839,0,NaN,620.8076,NaN,0
rc_201.1,19,StateSwitch,980109,50,950,950,0,1,316,444.5425,5.62379088495462e-06,0
rc_201.1,19,Feedback,980109,50,950,950,229.3839,0,NaN,620.8076,NaN,18
rc_201.1,19,Full,980109,50,950,950,0,1,316,444.5425,5.62379088495462e-06,12
rc_201.1,19,PSO,980109,100,1900,1900,0,1,439,527.841,0.187386961803212,0
rc_201.1,19,FixedRelocate,980109,100,1900,1900,0,1,1020,445.3805,0.00189071849552338,0
rc_201.1,19,StateSwitch,980109,100,1900,1900,0,1,316,444.5425,5.62379088495462e-06,0
rc_201.1,19,Feedback,980109,100,1900,1900,0,1,1020,445.3805,0.00189071849552338,23
rc_201.1,19,Full,980109,100,1900,1900,0,1,316,444.5425,5.62379088495462e-06,12
rc_201.1,19,PSO,980110,25,475,475,2876.8909,0,NaN,668.5337,NaN,0
rc_201.1,19,FixedRelocate,980110,25,475,475,1028.7923,0,NaN,642.1331,NaN,0
rc_201.1,19,StateSwitch,980110,25,475,475,49.966,0,NaN,592.6093,NaN,0
rc_201.1,19,Feedback,980110,25,475,475,1028.7923,0,NaN,642.1331,NaN,7
rc_201.1,19,Full,980110,25,475,475,49.966,0,NaN,592.6093,NaN,11
