instance,nCustomers,method,seed,checkpoint_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost
rc_201.3,31,PSO_GlobalRelocate,930207,775,740,6025.4374,0,NaN,1171.0587
rc_201.3,31,PSO_GlobalRelocate,930207,1550,1550,2609.9878,0,NaN,1025.8775
rc_201.3,31,PSO_FeasibilityRelocate,930207,775,740,2002.041,0,NaN,971.7862
rc_201.3,31,PSO_FeasibilityRelocate,930207,1550,1550,1717.2635,0,NaN,908.9985
rc_201.3,31,RandomKeyPSO,930208,775,760,4679.9159,0,NaN,994.8259
rc_201.3,31,RandomKeyPSO,930208,1550,1550,3952.3324,0,NaN,945.8504
rc_201.3,31,PSO_GlobalRelocate,930208,775,740,7145.2906,0,NaN,1109.3362
rc_201.3,31,PSO_GlobalRelocate,930208,1550,1550,4563.1603,0,NaN,1027.6784
rc_201.3,31,PSO_FeasibilityRelocate,930208,775,740,2385.1992,0,NaN,1004.1852
rc_201.3,31,PSO_FeasibilityRelocate,930208,1550,1550,1991.5148,0,NaN,1028.8213
rc_201.3,31,RandomKeyPSO,930209,775,760,6718.8671,0,NaN,1123.2895
rc_201.3,31,RandomKeyPSO,930209,1550,1550,4454.0305,0,NaN,930.9869
rc_201.3,31,PSO_GlobalRelocate,930209,775,740,4455.4722,0,NaN,1127.1511
rc_201.3,31,PSO_GlobalRelocate,930209,1550,1550,2102.9993,0,NaN,1017.8918
rc_201.3,31,PSO_FeasibilityRelocate,930209,775,740,2215.8221,0,NaN,1048.9975
rc_201.3,31,PSO_FeasibilityRelocate,930209,1550,1550,194.6159,0,NaN,860.4963
rc_201.3,31,RandomKeyPSO,930210,775,760,6521.4391,0,NaN,1056.3829
rc_201.3,31,RandomKeyPSO,930210,1550,1550,5656.2084,0,NaN,1055.2587
rc_201.3,31,PSO_GlobalRelocate,930210,775,740,4691.1731,0,NaN,954.9285
rc_201.3,31,PSO_GlobalRelocate,930210,1550,1550,2365.959,0,NaN,855.1699
rc_201.3,31,PSO_FeasibilityRelocate,930210,775,740,2082.9588,0,NaN,1028.7601
rc_201.3,31,PSO_FeasibilityRelocate,930210,1550,1550,93.9012,0,NaN,830.3157
rc_204.1,45,RandomKeyPSO,930301,1125,1120,7908.9724,0,NaN,1727.0155
rc_204.1,45,RandomKeyPSO,930301,2250,2250,6995.0122,0,NaN,1674.0024
rc_204.1,45,PSO_GlobalRelocate,930301,1125,1100,4850.9699,0,NaN,1534.3801
rc_204.1,45,PSO_GlobalRelocate,930301,2250,2250,3619.1035,0,NaN,1413.9436
rc_204.1,45,PSO_FeasibilityRelocate,930301,1125,1100,5082.1659,0,NaN,1568.3435
rc_204.1,45,PSO_FeasibilityRelocate,930301,2250,2250,1591.8596,0,NaN,1148.5652
rc_204.1,45,RandomKeyPSO,930302,1125,1120,12244.7652,0,NaN,1991.2689
rc_204.1,45,RandomKeyPSO,930302,2250,2250,7685.0347,0,NaN,1693.1464
rc_204.1,45,PSO_GlobalRelocate,930302,1125,1100,6443.3418,0,NaN,1584.3509
rc_204.1,45,PSO_GlobalRelocate,930302,2250,2250,2999.8906,0,NaN,1312.5114
rc_204.1,45,PSO_FeasibilityRelocate,930302,1125,1100,3833.2599,0,NaN,1326.8031
rc_204.1,45,PSO_FeasibilityRelocate,930302,2250,2250,3712.4128,0,NaN,1319.4667
rc_204.1,45,RandomKeyPSO,930303,1125,1120,8457.7852,0,NaN,1744.5986
rc_204.1,45,RandomKeyPSO,930303,2250,2250,7169.4866,0,NaN,1717.195
rc_204.1,45,PSO_GlobalRelocate,930303,1125,1100,7554.3158,0,NaN,1721.1155
rc_204.1,45,PSO_GlobalRelocate,930303,2250,2250,3899.0379,0,NaN,1535.4616
rc_204.1,45,PSO_FeasibilityRelocate,930303,1125,1100,3836.7165,0,NaN,1404.7832
rc_204.1,45,PSO_FeasibilityRelocate,930303,2250,2250,1548.4911,0,NaN,1187.841
rc_204.1,45,RandomKeyPSO,930304,1125,1120,7347.2721,0,NaN,1701.0317
rc_204.1,45,RandomKeyPSO,930304,2250,2250,6999.90179999999,0,NaN,1661.4312
rc_204.1,45,PSO_GlobalRelocate,930304,1125,1100,5576.0398,0,NaN,1583.4957
rc_204.1,45,PSO_GlobalRelocate,930304,2250,2250,2933.627,0,NaN,1313.2359
rc_204.1,45,PSO_FeasibilityRelocate,930304,1125,1100,3885.3991,0,NaN,1412.0496
rc_204.1,45,PSO_FeasibilityRelocate,930304,2250,2250,3026.9867,0,NaN,1330.7328
rc_204.1,45,RandomKeyPSO,930305,1125,1120,8939.3963,0,NaN,1638.9729
rc_204.1,45,RandomKeyPSO,930305,2250,2250,8222.0172,0,NaN,1563.1546
rc_204.1,45,PSO_GlobalRelocate,930305,1125,1100,7461.6752,0,NaN,1796.7368
rc_204.1,45,PSO_GlobalRelocate,930305,2250,2250,3687.5241,0,NaN,1611.8803
rc_204.1,45,PSO_FeasibilityRelocate,930305,1125,1100,3960.7326,0,NaN,1384.4417
rc_204.1,45,PSO_FeasibilityRelocate,930305,2250,2250,3062.3614,0,NaN,1271.0594
rc_204.1,45,RandomKeyPSO,930306,1125,1120,8258.5817,0,NaN,1699.161
rc_204.1,45,RandomKeyPSO,930306,2250,2250,6804.0178,0,NaN,1578.1964
rc_204.1,45,PSO_GlobalRelocate,930306,1125,1100,6853.06870000001,0,NaN,1661.3804
rc_204.1,45,PSO_GlobalRelocate,930306,2250,2250,2683.584,0,NaN,1375.931
rc_204.1,45,PSO_FeasibilityRelocate,930306,1125,1100,4051.4886,0,NaN,1381.1359
rc_204.1,45,PSO_FeasibilityRelocate,930306,2250,2250,3925.0789,0,NaN,1371.003
rc_204.1,45,RandomKeyPSO,930307,1125,1120,8790.2891,0,NaN,1744.7337
rc_204.1,45,RandomKeyPSO,930307,2250,2250,5497.1686,0,NaN,1478.8774
rc_204.1,45,PSO_GlobalRelocate,930307,1125,1100,3999.2889,0,NaN,1464.0594
rc_204.1,45,PSO_GlobalRelocate,930307,2250,2250,2679.1442,0,NaN,1375.8376
rc_204.1,45,PSO_FeasibilityRelocate,930307,1125,1100,3515.1422,0,NaN,1354.9687
rc_204.1,45,PSO_FeasibilityRelocate,930307,2250,2250,3201.6667,0,NaN,1337.9282
rc_204.1,45,RandomKeyPSO,930308,1125,1120,9458.1855,0,NaN,1798.1175
rc_204.1,45,RandomKeyPSO,930308,2250,2250,6149.76550000001,0,NaN,1545.1122
rc_204.1,45,PSO_GlobalRelocate,930308,1125,1100,4635.4481,0,NaN,1527.7793
rc_204.1,45,PSO_GlobalRelocate,930308,2250,2250,3163.7848,0,NaN,1413.8516
rc_204.1,45,PSO_FeasibilityRelocate,930308,1125,1100,5596.5931,0,NaN,1445.4735
