dataset,level,instance,checkpoint_fe,strategy,fitness,gap_to_bks,actual_fe,is_feasible
addition_stress_instances,Tight,2,500,Repair,3492.17238466647,0,38,1
addition_stress_instances,Tight,2,500,Restart,6501.52269676437,0.861741626877139,480,1
addition_stress_instances,Tight,2,1000,Restart,5900.80374591145,0.689722927717105,990,1
addition_stress_instances,Tight,2,1000,WarmStart,3492.17238466647,0,980,1
addition_stress_instances,Tight,2,1000,Repair,3492.17238466647,0,38,1
addition_stress_instances,Tight,2,1000,Restart,5886.41561667356,0.685602819184929,960,1
addition_stress_instances,Tight,2,1500,Restart,5165.68774943097,0.479219001934904,1500,1
addition_stress_instances,Tight,2,1500,WarmStart,3492.17238466647,0,1490,1
addition_stress_instances,Tight,2,1500,Repair,3492.17238466647,0,38,1
addition_stress_instances,Tight,2,1500,Restart,5470.99617695538,0.566645507242879,1500,1
addition_stress_instances,Tight,2,2500,Restart,4113.27148095665,0.177854649735311,2490,1
addition_stress_instances,Tight,2,2500,WarmStart,3492.17238466647,0,2480,1
addition_stress_instances,Tight,2,2500,Repair,3492.17238466647,0,38,1
addition_stress_instances,Tight,2,2500,Restart,5260.79539083533,0.506453522722583,2460,1
addition_stress_instances,Tight,2,5000,Restart,4923.62992667748,0.409904605023594,4980,1
addition_stress_instances,Tight,2,10000,Restart,4923.62992667748,0.409904605023594,9960,1
addition_stress_instances,Tight,2,20000,Restart,4923.62992667748,0.409904605023594,19980,1
