level,strategy,budget,event_index,mean_response_time,mean_total_fe,mean_fitness,mean_late,mean_route_disruption,feasibility_rate,mean_relative_gap
Mild,WarmStart,1000,1,0.7690863,978.5,4628.46786546547,5.83670149312565,0.2,0.5,0.0809691636285983
Mild,WarmStart,1000,2,1.06954105,987,4496.83230475772,13.7917122202476,0.153846153846154,0.5,0.384684020822523
Mild,WarmStart,1500,1,0.7826404,1487.5,4448.28870936614,0,0.3,1,0
Mild,WarmStart,1500,2,1.08870855,1482.5,4782.18955565859,10.5546875447504,0.0384615384615384,0,0
Mild,WarmStart,2500,1,0.8609675,2477.5,4139.62079296241,0,0.333333333333333,1,0.165707867307273
Mild,WarmStart,2500,2,1.15334135,2473,3741.22583829763,3.32273169277721,0,0.5,0
Moderate,Repair,500,1,0.64609905,1,5529.35988718773,6.2616284816929,0,0.5,0.529420083516175
Moderate,Repair,500,2,1.35564715,27,9208.89112736454,49.0993584584511,0,0,0.962212884408505
Moderate,Repair,1000,1,0.649737,1,5529.35988718773,6.2616284816929,0,0.5,0.48280875436627
Moderate,Repair,1000,2,1.35500975,27,9208.89112736454,49.0993584584511,0,0,0.719921251184604
Moderate,Repair,1500,1,0.64173715,1,5529.35988718773,6.2616284816929,0,0.5,0.521843733269961
Moderate,Repair,1500,2,1.36302905,27,9208.89112736454,49.0993584584511,0,0,1.19562583935861
Moderate,Repair,2500,1,0.639277,1,5529.35988718773,6.2616284816929,0,0.5,0.160456370306476
Moderate,Repair,2500,2,1.33683295,27,9208.89112736454,49.0993584584511,0,0,1.05014216439609
Moderate,Restart,500,1,0.67106395,480,3654.10311108183,0,0.607142857142857,1,0.0131338702841393
Moderate,Restart,500,2,1.4375018,480,19100.5697760827,146.08356818607,0.666666666666667,0,3.14549456156038
Moderate,Restart,1000,1,0.70656705,990,3874.77692238088,0,0.392857142857143,1,0.0253665231781811
Moderate,Restart,1000,2,1.41083755,990,9385.37005805472,54.4106419865514,0.435606060606061,0,0.752582337278948
Moderate,Restart,1500,1,0.73890835,1500,3662.55390662109,0,0.535714285714285,1,0
Moderate,Restart,1500,2,1.4667765,1500,11463.9415912056,74.0679083349616,0.428030303030303,0,1.27532992595308
Moderate,Restart,2500,1,0.8051279,2490,4981.4351899747,3.28634605676376,0.571428571428572,0.5,0.0496394857043229
Moderate,Restart,2500,2,1.57624915,2490,7154.9827693447,35.8146755765293,0.458333333333333,0,0.579034126746514
Moderate,WarmStart,500,1,0.67596705,494.5,3841.23219401402,0,0.321428571428572,1,0.0668148633409165
Moderate,WarmStart,500,2,1.44134945,500,4739.10077204995,15.8729157365464,0,0,0
Moderate,WarmStart,1000,1,0.70686065,976.5,4316.19796183032,0,0.285714285714286,1,0.152881396717658
Moderate,WarmStart,1000,2,1.4466054,980,5417.65697667535,17.0193642571123,0.0416666666666667,0,0.0118765533019637
Moderate,WarmStart,1500,1,0.74342345,1484,4259.46898172258,0,0.285714285714286,1,0.169633556711137
Moderate,WarmStart,1500,2,1.4751549,1490,4851.89633852176,11.2839399324125,0,0,0.10796095800482
Moderate,WarmStart,2500,1,0.826292,2477,5145.84990474524,6.1886869300433,0.178571428571429,0.5,0.0651363434606319
Moderate,WarmStart,2500,2,1.5332263,2480,6598.10134076256,26.1120140918672,0.0416666666666667,0,0.483115215861099
Severe,Repair,500,1,0.55952425,1,3970.66895685965,0,0,1,0.331716902524033
Severe,Repair,500,2,1.9645254,49,8035.46473609246,39.9245023568222,0,0,0.248711792897691
Severe,Repair,1000,1,0.5603522,1,3970.66895685965,0,0,1,0.386107816192961
Severe,Repair,1000,2,1.9726551,49,8035.46473609246,39.9245023568222,0,0,0.580165283478924
Severe,Repair,1500,1,0.5451175,1,3970.66895685965,0,0,1,0.334158551657988
Severe,Repair,1500,2,1.9789743,49,8035.46473609246,39.9245023568222,0,0,0.778627646504765
Severe,Repair,2500,1,0.55713045,1,3970.66895685965,0,0,1,0.432301261511261
Severe,Repair,2500,2,1.99294025,49,8035.46473609246,39.9245023568222,0,0,1.52247648535765
Severe,Restart,500,1,0.57924395,480,3802.51200018138,0,0.587412587412587,1,0.27500063742828
Severe,Restart,500,2,1.98838465,480,7331.33288210221,40.8564341505283,0.588888888888889,0,0.193459910848551
Severe,Restart,1000,1,0.64724575,990,3404.86560611875,0,0.496503496503496,1,0.173709682064676
Severe,Restart,1000,2,2.10189275,990,8374.6919905221,45.0452537604856,0.333333333333333,0.5,0.501408098689315
