level,instance,scenario_seed,algorithm_seed,strategy,budget,event_index,event_time,event_type,event_size,reused_legs,computed_legs,online_leg_time,warm_start_time,routing_or_repair_time,response_time,warm_start_fe,routing_or_repair_fe,total_fe,final_fitness,distance,total_late,obstacle_violation,route_disruption,is_feasible,first_feasible_fe,reference_found,reference_fe,reference_cost,state_x,state_y,state_z,state_time,relative_gap_to_best
Mild,1,3001,7102,WarmStart,1000,1,90,cancel,1,225,47,0.7002943,0.006736,0.0774339,0.7844642,45,930,975,4120.10543864109,4120.10543864109,0,0,0.2,1,300,0,Inf,3354.80432491796,670.315503600199,260.622649356366,375,90,0
Mild,1,3001,7102,WarmStart,1000,2,150,add,1,169,71,1.0705164,0.006456,0.0592692,1.1362416,74,900,974,3107.88743253351,3107.88743253351,0,0,0.307692307692308,1,587,0,Inf,5909.20546628518,610,500,375,150,0
Mild,1,3001,7103,WarmStart,1500,1,90,cancel,1,225,47,0.6754213,0.0069882,0.101899,0.7843085,47,1440,1487,4479.91595684357,4479.91595684357,0,0,0.333333333333333,1,515,0,Inf,3354.80432491796,670.315503600199,260.622649356366,375,90,0
Mild,1,3001,7103,WarmStart,1500,2,150,add,1,169,71,1.0330615,0.0063292,0.0918586,1.1312493,73,1410,1483,5038.48534370851,3805.74908361696,12.3273626009154,0,0.0769230769230769,0,Inf,0,Inf,5088.25602444983,850,500,375,150,0
Mild,1,3001,7104,WarmStart,2500,1,90,cancel,1,225,47,0.6852174,0.0041919,0.1681156,0.8575249,48,2430,2478,3842.90753401814,3842.90753401814,0,0,0.333333333333333,1,417,0,Inf,3354.80432491796,670.315503600199,260.622649356366,375,90,0
Mild,1,3001,7104,WarmStart,2500,2,150,add,1,169,71,1.0486863,0.0051027,0.1557756,1.2095646,73,2400,2473,3223.62654686546,3223.62654686546,0,0,0,1,74,0,Inf,5088.25602444983,850,500,375,150,0
Mild,1,3001,7101,Repair,500,1,90,cancel,1,225,47,0.6709194,0,0.0035977,0.6745171,0,1,1,6308.80377207608,4940.28491290939,13.6851885916669,0,0,0,Inf,0,Inf,3354.80432491796,670.315503600199,260.622649356366,375,90,0.355609067329249
Mild,1,3001,7101,Repair,500,2,150,add,1,169,71,1.0208957,0,0.0049077,1.0258034,0,15,15,7902.7819787671,4173.70023639108,37.2908174237602,0,0,0,Inf,0,Inf,5909.20546628518,610,500,375,150,1.22194102516836
Mild,1,3001,7102,Repair,1000,1,90,cancel,1,225,47,0.6870891,0,0.0005105,0.6875996,0,1,1,6308.80377207608,4940.28491290939,13.6851885916669,0,0,0,Inf,0,Inf,3354.80432491796,670.315503600199,260.622649356366,375,90,0.531223864541893
Mild,1,3001,7102,Repair,1000,2,150,add,1,169,71,1.020022,0,0.0023976,1.0224196,0,15,15,7902.7819787671,4173.70023639108,37.2908174237602,0,0,0,Inf,0,Inf,5909.20546628518,610,500,375,150,1.54281474162816
Mild,1,3001,7103,Repair,1500,1,90,cancel,1,225,47,0.7014546,0,0.0019479,0.7034025,0,1,1,6308.80377207608,4940.28491290939,13.6851885916669,0,0,0,Inf,0,Inf,3354.80432491796,670.315503600199,260.622649356366,375,90,0.408241545790314
Mild,1,3001,7103,Repair,1500,2,150,add,1,169,71,1.0370087,0,0.0018285,1.0388372,0,15,15,7902.7819787671,4173.70023639108,37.2908174237602,0,0,0,Inf,0,Inf,5909.20546628518,610,500,375,150,0.568483669131875
Mild,1,3001,7104,Repair,2500,1,90,cancel,1,225,47,0.6867696,0,0.0003458,0.6871154,0,1,1,6308.80377207608,4940.28491290939,13.6851885916669,0,0,0,Inf,0,Inf,3354.80432491796,670.315503600199,260.622649356366,375,90,0.641674621684067
Mild,1,3001,7104,Repair,2500,2,150,add,1,169,71,1.0388493,0,0.0013302,1.0401795,0,15,15,7902.7819787671,4173.70023639108,37.2908174237602,0,0,0,Inf,0,Inf,5909.20546628518,610,500,375,150,1.45151907762128
Mild,2,3002,7201,Restart,500,1,90,cancel,1,225,47,0.6879751,0,0.0336808,0.7216559,0,480,480,10175.5095386273,5312.76074350569,48.6274879512159,0,0.466666666666667,0,Inf,0,Inf,6229.28501242683,430,500,375,90,0.617266753463774
Mild,2,3002,7201,Restart,500,2,150,add,1,144,66,0.9436817,0,0.029955,0.9736367,0,480,480,15349.9305703962,3980.39098749549,113.695395829007,0,0.583333333333333,0,Inf,0,Inf,6983.40330584733,238.79731853116,221.926508326222,375,150,1.0242014296072
Mild,2,3002,7202,Restart,1000,1,90,cancel,1,225,47,0.6754726,0,0.0683581,0.7438307,0,990,990,4420.91475234795,4420.91475234795,0,0,0.466666666666667,1,771,0,Inf,6229.28501242683,430,500,375,90,0
Mild,2,3002,7202,Restart,1000,2,150,add,1,144,66,0.9688275,0,0.0612355,1.030063,0,990,990,3326.48552389909,3165.94302611399,1.60542497785099,0,0.416666666666667,0,534,0,Inf,4034.9578415463,127.768217670734,266.67813879512,375,150,0
Mild,2,3002,7203,Restart,1500,1,90,cancel,1,225,47,0.6929111,0,0.1038684,0.7967795,0,1500,1500,7918.68088598077,5083.00636857579,28.3567451740498,0,0.4,0,Inf,0,Inf,6229.28501242683,430,500,375,90,0.792910992683257
Mild,2,3002,7203,Restart,1500,2,150,add,1,169,71,1.0327299,0,0.097719,1.1304489,0,1500,1500,8011.47487367206,3548.94871551677,44.6252615815529,0,0.692307692307692,0,Inf,0,Inf,5620.3256163234,680,700,375,150,0.770142050396612
Mild,2,3002,7204,Restart,2500,1,90,cancel,1,225,47,0.6822856,0,0.1678555,0.8501411,0,2490,2490,3332.04267950989,3332.04267950989,0,0,0.733333333333333,1,399,0,Inf,6229.28501242683,430,500,375,90,0
Mild,2,3002,7204,Restart,2500,2,150,add,1,144,66,0.9602019,0,0.1522302,1.1124321,0,2490,2490,14160.9136683936,4463.62095683941,96.9729271155414,0,0.416666666666667,0,Inf,0,Inf,4344.45406269813,900,700,375,150,2.32507516440151
Mild,2,3002,7201,WarmStart,500,1,90,cancel,1,225,47,0.6792175,0.0036022,0.0307931,0.7136128,43,450,493,6291.79417485331,4896.88299346484,13.9491118138847,0,0.266666666666667,0,Inf,0,Inf,6229.28501242683,430,500,375,90,0
Mild,2,3002,7201,WarmStart,500,2,150,add,1,121,61,0.9162299,0.005181,0.0248884,0.9462993,70,420,490,7583.20310710129,4254.26008437614,33.2894302272514,0,0,0,Inf,0,Inf,5276.64511927311,434.383188845696,148.766377691392,375,150,0
Mild,2,3002,7202,WarmStart,1000,1,90,cancel,1,225,47,0.6837207,0.0042463,0.0657414,0.7537084,52,930,982,5136.83029228984,3969.48999366472,11.6734029862513,0,0.2,0,Inf,0,Inf,6229.28501242683,430,500,375,90,0.161938327257197
