dataset,level,instance,seed_index,algorithm_seed,k,free_count,preprocess_fe,search_fe,total_fe,bks_cost,cost,gap_to_bks,improvement_over_repair,unique_route_ratio,route_change_rate,improvement_count,last_improvement_fe,is_feasible
addition_stress_instances,Near,4,1,22401,4,6,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.526262626262626,0.985431841831426,1,162,1
addition_stress_instances,Near,4,1,22401,6,8,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.685858585858586,0.975026014568158,2,399,1
addition_stress_instances,Near,4,1,22401,8,10,39,991,1030,3728.2273394107,3746.05599865188,0.0047820740577474,0.000671837510690285,0.82020202020202,0.981269510926119,1,352,1
addition_stress_instances,Near,4,1,22401,12,14,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.905050505050505,0.963579604578564,1,895,1
addition_stress_instances,Near,4,1,22401,Inf,19,39,991,1030,3728.2273394107,3746.05599865188,0.0047820740577474,0.000671837510690285,0.957575757575758,0.979188345473465,1,509,1
addition_stress_instances,Near,4,2,22402,0,2,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.0818181818181818,0.857440166493236,1,30,1
addition_stress_instances,Near,4,2,22402,2,4,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.267676767676768,0.942767950052029,1,38,1
addition_stress_instances,Near,4,2,22402,4,6,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.47979797979798,0.970863683662851,2,269,1
addition_stress_instances,Near,4,2,22402,6,8,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.790909090909091,0.986472424557752,2,606,1
addition_stress_instances,Near,4,2,22402,8,10,39,991,1030,3728.2273394107,3728.2273394107,8.53819031515499e-16,0.00542795468714082,0.74040404040404,0.965660770031218,1,469,1
addition_stress_instances,Near,4,2,22402,12,14,39,991,1030,3728.2273394107,3746.05599865188,0.0047820740577474,0.000671837510690285,0.885858585858586,0.96149843912591,1,837,1
