dataset,level,instance,scenario_seed,algorithm_seed,event_type,event_size,strategy,seed_index,checkpoint_fe,actual_fe,warm_start_fe,local_search_fe,local_budget,pso_improvement_per_fe,local_improvement_per_fe,response_time,fitness,distance,total_late,is_feasible,reference_cost,gap_to_reference,overtake_repair,first_feasible_fe,feasibility_mode_fe,quality_mode_fe,improvement_per_100_local_fe,mean_local_budget,mode
addition_instances,M1,9,6109,6819005,add,1,WarmPSO_FixedRelocate,5,1000,987,77,400,25,NaN,NaN,0.3227764,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819005,add,1,WarmPSO_FixedRelocate,5,1500,1482,77,625,25,NaN,NaN,0.3227764,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819005,add,1,WarmPSO_FixedRelocate,5,2500,2472,77,1075,25,NaN,NaN,0.3227764,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819005,add,1,AdaptiveMemeticPSO,5,500,492,77,175,25,0,0.0049573585917642,0.321689,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,0,1253,0.159616919393456,32.9736842105263,quality-relocate
addition_instances,M1,9,6109,6819005,add,1,AdaptiveMemeticPSO,5,1000,943,77,416,36,0,0,0.321689,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1253,0.159616919393456,32.9736842105263,quality-relocate
addition_instances,M1,9,6109,6819005,add,1,AdaptiveMemeticPSO,5,1500,1471,77,704,36,0,0,0.321689,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1253,0.159616919393456,32.9736842105263,quality-relocate
addition_instances,M1,9,6109,6819005,add,1,AdaptiveMemeticPSO,5,2500,2500,77,1253,9,0,0,0.321689,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1253,0.159616919393456,32.9736842105263,quality-relocate
addition_instances,M1,9,6109,6819006,add,1,Repair,6,500,19,0,0,0,NaN,NaN,0.0019809,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819006,add,1,Repair,6,1000,19,0,0,0,NaN,NaN,0.0019809,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819006,add,1,Repair,6,1500,19,0,0,0,NaN,NaN,0.0019809,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819006,add,1,Repair,6,2500,19,0,0,0,NaN,NaN,0.0019809,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,NaN,0,0,NaN,0,repair
addition_instances,M1,9,6109,6819006,add,1,WarmPSO,6,500,497,77,0,25,NaN,NaN,0.2762037,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819006,add,1,WarmPSO,6,1000,977,77,0,25,NaN,NaN,0.2762037,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819006,add,1,WarmPSO,6,1500,1487,77,0,25,NaN,NaN,0.2762037,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819006,add,1,WarmPSO,6,2500,2477,77,0,25,NaN,NaN,0.2762037,3489.87731324602,3489.87731324602,0,1,3489.87731324602,0,0,78,0,0,0,25,WarmPSO
addition_instances,M1,9,6109,6819006,add,1,WarmPSO_FixedRelocate,6,500,492,77,175,25,NaN,NaN,0.3274596,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819006,add,1,WarmPSO_FixedRelocate,6,1000,987,77,400,25,NaN,NaN,0.3274596,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819006,add,1,WarmPSO_FixedRelocate,6,1500,1482,77,625,25,NaN,NaN,0.3274596,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819006,add,1,WarmPSO_FixedRelocate,6,2500,2472,77,1075,25,NaN,NaN,0.3274596,3442.3352485667,3442.3352485667,0,1,3489.87731324602,-0.0136228469977629,1,78,0,1075,0.186046511627907,25,WarmPSO_FixedRelocate
addition_instances,M1,9,6109,6819006,add,1,AdaptiveMemeticPSO,6,500,492,77,175,25,0,0,0.3097594,3489.75337928123,3489.75337928123,0,1,3489.87731324602,-3.55124130936371e-05,1,78,0,1263,0.158353127474268,33.2368421052632,quality-relocate
