stress_level,instance,scenario_seed,strategy,budget,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,is_feasible,gap_to_reference,route_disruption,gap_to_bks,bks_cost
Tight,1,8301,WarmStart,1500,200,1290,1490,0.132529,4251.83316513849,4251.83316513849,0,1,-0.191721665158816,0,0,4251.83316513849
Tight,1,8301,WarmStart,2500,200,2280,2480,0.2133664,4251.83316513849,4251.83316513849,0,1,-0.191721665158816,0,0,4251.83316513849
Tight,1,8301,Repair,500,0,38,38,0.0029578,4293.90625809938,4293.90625809938,0,1,-0.183723522193359,0,0.00989528312301959,4251.83316513849
Tight,1,8301,Repair,1000,0,38,38,0.0028109,4293.90625809938,4293.90625809938,0,1,-0.183723522193359,0,0.00989528312301959,4251.83316513849
Tight,1,8301,Repair,1500,0,38,38,0.0028082,4293.90625809938,4293.90625809938,0,1,-0.183723522193359,0,0.00989528312301959,4251.83316513849
Tight,1,8301,Repair,2500,0,38,38,0.0039197,4293.90625809938,4293.90625809938,0,1,-0.183723522193359,0,0.00989528312301959,4251.83316513849
Tight,2,8302,Restart,500,0,480,480,0.0434635,5921.03982990417,5921.03982990417,0,1,0.0917879763879184,0.588235294117647,0.587001955906994,3730.95937775339
Tight,2,8302,Restart,1000,0,990,990,0.0898053,6337.83590598904,6337.83590598904,0,1,0.168641528727978,0.470588235294118,0.698714798070353,3730.95937775339
Tight,2,8302,Restart,1500,0,1500,1500,0.1349616,5280.153610644,5280.153610644,0,1,-0.0263858391110205,0.705882352941176,0.415226775753174,3730.95937775339
Tight,2,8302,Restart,2500,0,2490,2490,0.2311483,4338.9403607331,4338.9403607331,0,1,-0.199937333272537,0.705882352941176,0.162955669419753,3730.95937775339
Tight,2,8302,WarmStart,500,200,300,500,0.0454378,3730.95937775339,3730.95937775339,0,1,-0.312043710895148,0,0,3730.95937775339
Tight,2,8302,WarmStart,1000,200,780,980,0.0857948,3730.95937775339,3730.95937775339,0,1,-0.312043710895148,0,0,3730.95937775339
Tight,2,8302,WarmStart,1500,200,1290,1490,0.1334869,3730.95937775339,3730.95937775339,0,1,-0.312043710895148,0,0,3730.95937775339
Tight,2,8302,WarmStart,2500,200,2280,2480,0.2118953,3730.95937775339,3730.95937775339,0,1,-0.312043710895148,0,0,3730.95937775339
Tight,2,8302,Repair,500,0,38,38,0.0030765,3730.95937775339,3730.95937775339,0,1,-0.312043710895148,0,0,3730.95937775339
Tight,2,8302,Repair,1000,0,38,38,0.0029584,3730.95937775339,3730.95937775339,0,1,-0.312043710895148,0,0,3730.95937775339
Tight,2,8302,Repair,1500,0,38,38,0.0028998,3730.95937775339,3730.95937775339,0,1,-0.312043710895148,0,0,3730.95937775339
Tight,2,8302,Repair,2500,0,38,38,0.0028902,3730.95937775339,3730.95937775339,0,1,-0.312043710895148,0,0,3730.95937775339
Tight,3,8303,Restart,500,0,480,480,0.0431671,5802.61786440224,5802.61786440224,0,1,0.11596771870859,0.647058823529412,0.661010993987929,3493.42532072633
Tight,3,8303,Restart,1000,0,990,990,0.0903129,5709.4679264802,5709.4679264802,0,1,0.0980529901929604,0.647058823529412,0.634346637555465,3493.42532072633
Tight,3,8303,Restart,1500,0,1500,1500,0.1516024,4831.83508027819,4831.83508027819,0,1,-0.0707346067377715,0.705882352941176,0.383122476273111,3493.42532072633
Tight,3,8303,Restart,2500,0,2490,2490,0.2172473,4601.15657024312,4601.15657024312,0,1,-0.115099025800796,0.823529411764706,0.317090290422031,3493.42532072633
Tight,3,8303,WarmStart,500,200,300,500,0.0469037,3493.42532072633,3493.42532072633,0,1,-0.328139474845221,0,0,3493.42532072633
Tight,3,8303,WarmStart,1000,200,780,980,0.0873749,3493.42532072633,3493.42532072633,0,1,-0.328139474845221,0,0,3493.42532072633
Tight,3,8303,WarmStart,1500,200,1290,1490,0.1311606,3493.42532072633,3493.42532072633,0,1,-0.328139474845221,0,0,3493.42532072633
Tight,3,8303,WarmStart,2500,200,2280,2480,0.2296012,3493.42532072633,3493.42532072633,0,1,-0.328139474845221,0,0,3493.42532072633
Tight,3,8303,Repair,500,0,38,38,0.0037315,3493.42532072633,3493.42532072633,0,1,-0.328139474845221,0,0,3493.42532072633
Tight,3,8303,Repair,1000,0,38,38,0.0030066,3493.42532072633,3493.42532072633,0,1,-0.328139474845221,0,0,3493.42532072633
Tight,3,8303,Repair,1500,0,38,38,0.0028222,3493.42532072633,3493.42532072633,0,1,-0.328139474845221,0,0,3493.42532072633
Tight,3,8303,Repair,2500,0,38,38,0.0027646,3493.42532072633,3493.42532072633,0,1,-0.328139474845221,0,0,3493.42532072633
Tight,4,8304,Restart,500,0,480,480,0.0437179,6388.90085161236,6388.90085161236,0,1,0.124178676547843,0.470588235294118,0.690010987864201,3780.39012615327
Tight,4,8304,Restart,1000,0,990,990,0.0882796,5080.97570731247,5080.97570731247,0,1,-0.105961310265637,0.529411764705882,0.34403475243509,3780.39012615327
Tight,4,8304,Restart,1500,0,1500,1500,0.1350057,4904.45533970626,4904.45533970626,0,1,-0.137021493832143,0.823529411764706,0.297341061647725,3780.39012615327
Tight,4,8304,Restart,2500,0,2490,2490,0.2211328,5350.66438125265,5350.66438125265,0,1,-0.0585074111378234,0.588235294117647,0.41537359973406,3780.39012615327
Tight,4,8304,WarmStart,500,200,300,500,0.044526,3780.39012615327,3780.39012615327,0,1,-0.334809841698985,0,0,3780.39012615327
Tight,4,8304,WarmStart,1000,200,780,980,0.0858362,3780.39012615327,3780.39012615327,0,1,-0.334809841698985,0,0,3780.39012615327
Tight,4,8304,WarmStart,1500,200,1290,1490,0.1279035,3780.39012615327,3780.39012615327,0,1,-0.334809841698985,0,0,3780.39012615327
Tight,4,8304,WarmStart,2500,200,2280,2480,0.2183143,3780.39012615327,3780.39012615327,0,1,-0.334809841698985,0,0,3780.39012615327
Tight,4,8304,Repair,500,0,38,38,0.0030206,3780.39012615327,3780.39012615327,0,1,-0.334809841698985,0,0,3780.39012615327
Tight,4,8304,Repair,1000,0,38,38,0.0029728,3780.39012615327,3780.39012615327,0,1,-0.334809841698985,0,0,3780.39012615327
Tight,4,8304,Repair,1500,0,38,38,0.0028759,3780.39012615327,3780.39012615327,0,1,-0.334809841698985,0,0,3780.39012615327
Tight,4,8304,Repair,2500,0,38,38,0.0028555,3780.39012615327,3780.39012615327,0,1,-0.334809841698985,0,0,3780.39012615327
Tight,5,8305,Restart,500,0,480,480,0.0434592,6812.50363126577,6812.50363126577,0,1,0.894641270494625,0.705882352941176,0.951062474086647,3491.68912925503
Tight,5,8305,Restart,1000,0,990,990,0.0883888,5615.24434825498,5615.24434825498,0,1,0.56166869949086,0.588235294117647,0.608174193174242,3491.68912925503
Tight,5,8305,Restart,1500,0,1500,1500,0.1300348,4607.91495806956,4607.91495806956,0,1,0.281517973865062,0.705882352941176,0.319680758364844,3491.68912925503
Tight,5,8305,Restart,2500,0,2490,2490,0.2188208,4467.37158796879,4467.37158796879,0,1,0.242431129483031,0.705882352941176,0.279429932790703,3491.68912925503
Tight,5,8305,WarmStart,500,200,300,500,0.0455896,3491.68912925503,3491.68912925503,0,1,-0.0289181942359039,0,0,3491.68912925503
Tight,5,8305,WarmStart,1000,200,780,980,0.0896456,3491.68912925503,3491.68912925503,0,1,-0.0289181942359039,0,0,3491.68912925503
Tight,5,8305,WarmStart,1500,200,1290,1490,0.1288371,3491.68912925503,3491.68912925503,0,1,-0.0289181942359039,0,0,3491.68912925503
Tight,5,8305,WarmStart,2500,200,2280,2480,0.2123783,3491.68912925503,3491.68912925503,0,1,-0.0289181942359039,0,0,3491.68912925503
Tight,5,8305,Repair,500,0,38,38,0.0029495,3491.68912925503,3491.68912925503,0,1,-0.0289181942359039,0,0,3491.68912925503
Tight,5,8305,Repair,1000,0,38,38,0.0044075,3491.68912925503,3491.68912925503,0,1,-0.0289181942359039,0,0,3491.68912925503
Tight,5,8305,Repair,1500,0,38,38,0.0040955,3491.68912925503,3491.68912925503,0,1,-0.0289181942359039,0,0,3491.68912925503
Tight,5,8305,Repair,2500,0,38,38,0.0037448,3491.68912925503,3491.68912925503,0,1,-0.0289181942359039,0,0,3491.68912925503
