instance,route_index,route_source,feature,direction,spearman_rho,oracle_rank,normalized_rank,selected_gain,oracle_gain,gain_capture,selected_source_improves
rc_201.1,14,first-feasible,removal_saving,max,0.426619886371523,16,0.833333333333333,0,4.04679999999996,0,0
rc_201.1,14,first-feasible,removal_saving,min,0.426619886371523,18,0.944444444444444,0,4.04679999999996,0,0
rc_201.1,14,first-feasible,slack,max,-0.171587583918594,8,0.388888888888889,0,4.04679999999996,0,0
rc_201.1,14,first-feasible,slack,min,-0.171587583918594,5,0.222222222222222,1.78920000000005,4.04679999999996,0.442127112780485,1
rc_201.1,14,first-feasible,waiting,max,-0.0870910600172191,8,0.388888888888889,0,4.04679999999996,0,0
rc_201.1,14,first-feasible,waiting,min,-0.0870910600172191,7,0.333333333333333,0,4.04679999999996,0,0
rc_201.1,14,first-feasible,local_travel,max,-0.584331947201811,9,0.444444444444444,0,4.04679999999996,0,0
rc_201.1,14,first-feasible,local_travel,min,-0.584331947201811,1,0,4.04679999999996,4.04679999999996,1,1
rc_201.1,15,first-feasible,removal_saving,max,0.371297606842049,9,0.444444444444444,0,38.7983,0,0
rc_201.1,15,first-feasible,removal_saving,min,0.371297606842049,19,1,0,38.7983,0,0
rc_201.1,15,first-feasible,slack,max,0.078762411826838,2,0.0555555555555556,29.1043000000001,38.7983,0.750143691862791,1
rc_201.1,15,first-feasible,slack,min,0.078762411826838,6,0.277777777777778,2.7713,38.7983,0.0714283873262488,1
rc_201.1,15,first-feasible,waiting,max,0.16763161522499,18,0.944444444444444,0,38.7983,0,0
rc_201.1,15,first-feasible,waiting,min,0.16763161522499,7,0.333333333333333,0,38.7983,0,0
rc_201.1,15,first-feasible,local_travel,max,0.0159583498642714,9,0.444444444444444,0,38.7983,0,0
rc_201.1,15,first-feasible,local_travel,min,0.0159583498642714,6,0.277777777777778,2.7713,38.7983,0.0714283873262488,1
rc_201.1,16,final-feasible,removal_saving,max,0.086066296582387,16,0.833333333333333,0,4.04679999999996,0,0
rc_201.1,16,final-feasible,removal_saving,min,0.086066296582387,8,0.388888888888889,0,4.04679999999996,0,0
rc_201.1,16,final-feasible,slack,max,0,3,0.111111111111111,0,4.04679999999996,0,0
rc_201.1,16,final-feasible,slack,min,0,14,0.722222222222222,0,4.04679999999996,0,0
rc_201.1,16,final-feasible,waiting,max,-0.101617355587133,3,0.111111111111111,0,4.04679999999996,0,0
rc_201.1,16,final-feasible,waiting,min,-0.101617355587133,2,0.0555555555555556,0,4.04679999999996,0,0
rc_201.1,16,final-feasible,local_travel,max,-0.387468314148179,4,0.166666666666667,0,4.04679999999996,0,0
rc_201.1,16,final-feasible,local_travel,min,-0.387468314148179,1,0,4.04679999999996,4.04679999999996,1,1
rc_201.1,17,first-feasible,removal_saving,max,0.688050160277948,1,0,26.9352,26.9352,1,1
rc_201.1,17,first-feasible,removal_saving,min,0.688050160277948,11,0.555555555555556,0,26.9352,0,0
rc_201.1,17,first-feasible,slack,max,-0.0812723451392854,6,0.277777777777778,0,26.9352,0,0
rc_201.1,17,first-feasible,slack,min,-0.0812723451392854,16,0.833333333333333,0,26.9352,0,0
rc_201.1,17,first-feasible,waiting,max,-0.175469567372714,6,0.277777777777778,0,26.9352,0,0
rc_201.1,17,first-feasible,waiting,min,-0.175469567372714,5,0.222222222222222,0,26.9352,0,0
rc_201.1,17,first-feasible,local_travel,max,0.611736904576279,2,0.0555555555555556,26.9352,26.9352,1,1
rc_201.1,17,first-feasible,local_travel,min,0.611736904576279,17,0.888888888888889,0,26.9352,0,0
rc_201.1,18,first-feasible,removal_saving,max,0.808966893942646,1,0,91.5331,91.5331,1,1
rc_201.1,18,first-feasible,removal_saving,min,0.808966893942646,13,0.666666666666667,0,91.5331,0,0
rc_201.1,18,first-feasible,slack,max,0.456705488246963,5,0.222222222222222,22.677,91.5331,0.247746443636236,1
rc_201.1,18,first-feasible,slack,min,0.456705488246963,16,0.833333333333333,0,91.5331,0,0
rc_201.1,18,first-feasible,waiting,max,0.209609826935166,5,0.222222222222222,22.677,91.5331,0.247746443636236,1
rc_201.1,18,first-feasible,waiting,min,0.209609826935166,10,0.5,0,91.5331,0,0
rc_201.1,18,first-feasible,local_travel,max,0.67698755326421,1,0,91.5331,91.5331,1,1
rc_201.1,18,first-feasible,local_travel,min,0.67698755326421,13,0.666666666666667,0,91.5331,0,0
rc_201.1,19,first-feasible,removal_saving,max,0.796054341972968,1,0,85.8426000000001,85.8426000000001,1,1
rc_201.1,19,first-feasible,removal_saving,min,0.796054341972968,11,0.555555555555556,0,85.8426000000001,0,0
rc_201.1,19,first-feasible,slack,max,-0.205858638752245,18,0.944444444444444,0,85.8426000000001,0,0
rc_201.1,19,first-feasible,slack,min,-0.205858638752245,5,0.222222222222222,9.51419999999996,85.8426000000001,0.110833082874936,1
rc_201.1,19,first-feasible,waiting,max,-0.174120166800542,18,0.944444444444444,0,85.8426000000001,0,0
rc_201.1,19,first-feasible,waiting,min,-0.174120166800542,8,0.388888888888889,0,85.8426000000001,0,0
rc_201.1,19,first-feasible,local_travel,max,0.492843834648233,1,0,85.8426000000001,85.8426000000001,1,1
rc_201.1,19,first-feasible,local_travel,min,0.492843834648233,11,0.555555555555556,0,85.8426000000001,0,0
rc_201.1,20,first-feasible,removal_saving,max,0.492786171310133,2,0.0555555555555556,54.5940000000001,54.5940000000001,1,1
rc_201.1,20,first-feasible,removal_saving,min,0.492786171310133,13,0.666666666666667,0,54.5940000000001,0,0
rc_201.1,20,first-feasible,slack,max,0.133515717453624,2,0.0555555555555556,54.5940000000001,54.5940000000001,1,1
rc_201.1,20,first-feasible,slack,min,0.133515717453624,5,0.222222222222222,5.43849999999998,54.5940000000001,0.0996171740484297,1
rc_201.1,20,first-feasible,waiting,max,0.384704641230793,6,0.277777777777778,1.39170000000001,54.5940000000001,0.0254918122870646,1
rc_201.1,20,first-feasible,waiting,min,0.384704641230793,10,0.5,0,54.5940000000001,0,0
rc_201.1,20,first-feasible,local_travel,max,0.263009189697316,2,0.0555555555555556,54.5940000000001,54.5940000000001,1,1
rc_201.1,20,first-feasible,local_travel,min,0.263009189697316,6,0.277777777777778,1.39170000000001,54.5940000000001,0.0254918122870646,1
rc_201.1,21,first-feasible,removal_saving,max,0.619604080185329,2,0.0555555555555556,54.5940000000001,54.5940000000001,1,1
