dataset,level,instance,strategy,algorithm_seed,checkpoint_fe,actual_fe,cost,gap_to_witness_bks,is_feasible,warm_start_fe,response_time,bks_cost,gap_to_bks
addition_instances,M1,7,Restart,1000701,2500,2490,4624.75703556909,0.324750796407241,1,0,0.2108388,3491.03925667496,0.324750796407239
addition_instances,M1,7,WarmStart,1000702,500,498,3491.03925667496,0,1,78,0.2058894,3491.03925667496,0
addition_instances,M1,7,WarmStart,1000702,1000,978,3491.03925667496,0,1,78,0.2058894,3491.03925667496,0
addition_instances,M1,7,WarmStart,1000702,1500,1488,3491.03925667496,0,1,78,0.2058894,3491.03925667496,0
addition_instances,M1,7,WarmStart,1000702,2500,2478,3491.03925667496,0,1,78,0.2058894,3491.03925667496,0
addition_instances,M1,7,Repair,1000703,500,19,3491.03925667496,0,1,0,0.0014501,3491.03925667496,0
addition_instances,M1,7,Repair,1000703,1000,19,3491.03925667496,0,1,0,0.0014501,3491.03925667496,0
addition_instances,M1,7,Repair,1000703,1500,19,3491.03925667496,0,1,0,0.0014501,3491.03925667496,0
addition_instances,M1,7,Repair,1000703,2500,19,3491.03925667496,0,1,0,0.0014501,3491.03925667496,0
addition_instances,M1,8,Restart,1000801,500,480,5401.47040923995,0.54696605345773,1,0,0.2081943,3491.65412981542,0.546966053457731
addition_instances,M1,8,Restart,1000801,1000,990,4046.66274293632,0.158952918154651,1,0,0.2081943,3491.65412981542,0.158952918154651
addition_instances,M1,8,Restart,1000801,1500,1500,3657.93346535173,0.0476219377275777,1,0,0.2081943,3491.65412981542,0.0476219377275778
addition_instances,M1,8,Restart,1000801,2500,2490,3657.93346535173,0.0476219377275777,1,0,0.2081943,3491.65412981542,0.0476219377275778
addition_instances,M1,8,WarmStart,1000802,500,497,3491.65412981542,0,1,77,0.2090621,3491.65412981542,0
addition_instances,M1,8,WarmStart,1000802,1000,977,3491.65412981542,0,1,77,0.2090621,3491.65412981542,0
addition_instances,M1,8,WarmStart,1000802,1500,1487,3491.65412981542,0,1,77,0.2090621,3491.65412981542,0
addition_instances,M1,8,WarmStart,1000802,2500,2477,3491.65412981542,0,1,77,0.2090621,3491.65412981542,0
addition_instances,M1,8,Repair,1000803,500,19,3491.65412981542,0,1,0,0.0015058,3491.65412981542,0
addition_instances,M1,8,Repair,1000803,1000,19,3491.65412981542,0,1,0,0.0015058,3491.65412981542,0
addition_instances,M1,8,Repair,1000803,1500,19,3491.65412981542,0,1,0,0.0015058,3491.65412981542,0
addition_instances,M1,8,Repair,1000803,2500,19,3491.65412981542,0,1,0,0.0015058,3491.65412981542,0
addition_instances,M1,9,Restart,1000901,500,480,5533.70295354366,0.585643980245434,1,0,0.2178181,3251.1452136787,0.702078064757441
addition_instances,M1,9,Restart,1000901,1000,990,5387.2502097539,0.543678968113376,1,0,0.2178181,3251.1452136787,0.657031555246398
addition_instances,M1,9,Restart,1000901,1500,1500,5157.28343755695,0.477783593704628,1,0,0.2178181,3251.1452136787,0.586297473228345
addition_instances,M1,9,Restart,1000901,2500,2490,4827.95065263177,0.383415581489648,1,0,0.2178181,3251.1452136787,0.485000003173928
addition_instances,M1,9,WarmStart,1000902,500,498,3489.87731324602,0,1,78,0.2042617,3251.1452136787,0.073430155799529
addition_instances,M1,9,WarmStart,1000902,1000,978,3489.87731324602,0,1,78,0.2042617,3251.1452136787,0.073430155799529
addition_instances,M1,9,WarmStart,1000902,1500,1488,3489.87731324602,0,1,78,0.2042617,3251.1452136787,0.073430155799529
addition_instances,M1,9,WarmStart,1000902,2500,2478,3489.87731324602,0,1,78,0.2042617,3251.1452136787,0.073430155799529
addition_instances,M1,9,Repair,1000903,500,19,3489.87731324602,0,1,0,0.0014855,3251.1452136787,0.073430155799529
addition_instances,M1,9,Repair,1000903,1000,19,3489.87731324602,0,1,0,0.0014855,3251.1452136787,0.073430155799529
addition_instances,M1,9,Repair,1000903,1500,19,3489.87731324602,0,1,0,0.0014855,3251.1452136787,0.073430155799529
addition_instances,M1,9,Repair,1000903,2500,19,3489.87731324602,0,1,0,0.0014855,3251.1452136787,0.073430155799529
addition_instances,M1,10,Restart,1001001,500,480,5589.39212110001,0.601368103309233,1,0,0.2135093,3442.96743994192,0.623422881162738
addition_instances,M1,10,Restart,1001001,1000,990,5179.91258824795,0.484051685233664,1,0,0.2135093,3442.96743994192,0.504490727433464
addition_instances,M1,10,Restart,1001001,1500,1500,5004.17556479793,0.433702799733037,1,0,0.2135093,3442.96743994192,0.453448413930498
addition_instances,M1,10,Restart,1001001,2500,2490,4893.61358017129,0.402026647517613,1,0,0.2135093,3442.96743994192,0.421336003181558
addition_instances,M1,10,WarmStart,1001002,500,497,3490.38557065644,0,1,77,0.2105966,3442.96743994192,0.0137724598160359
addition_instances,M1,10,WarmStart,1001002,1000,977,3490.38557065644,0,1,77,0.2105966,3442.96743994192,0.0137724598160359
addition_instances,M1,10,WarmStart,1001002,1500,1487,3490.38557065644,0,1,77,0.2105966,3442.96743994192,0.0137724598160359
addition_instances,M1,10,WarmStart,1001002,2500,2477,3490.38557065644,0,1,77,0.2105966,3442.96743994192,0.0137724598160359
addition_instances,M1,10,Repair,1001003,500,19,3490.38557065644,0,1,0,0.0014781,3442.96743994192,0.0137724598160359
addition_instances,M1,10,Repair,1001003,1000,19,3490.38557065644,0,1,0,0.0014781,3442.96743994192,0.0137724598160359
addition_instances,M1,10,Repair,1001003,1500,19,3490.38557065644,0,1,0,0.0014781,3442.96743994192,0.0137724598160359
addition_instances,M1,10,Repair,1001003,2500,19,3490.38557065644,0,1,0,0.0014781,3442.96743994192,0.0137724598160359
addition_instances,M2,1,Restart,1001101,500,480,6315.17575987982,0.808209207200379,1,0,0.2728238,3492.50282253429,0.808209207200381
addition_instances,M2,1,Restart,1001101,1000,990,6275.77407648693,0.796927417207638,1,0,0.2728238,3492.50282253429,0.796927417207639
addition_instances,M2,1,Restart,1001101,1500,1500,5586.70599049746,0.599628196275452,1,0,0.2728238,3492.50282253429,0.599628196275455
addition_instances,M2,1,Restart,1001101,2500,2490,4745.06299509558,0.358642565577767,1,0,0.2728238,3492.50282253429,0.358642565577767
addition_instances,M2,1,WarmStart,1001102,500,500,3492.50282253429,0,1,200,0.2357928,3492.50282253429,0
addition_instances,M2,1,WarmStart,1001102,1000,980,3492.50282253429,0,1,200,0.2357928,3492.50282253429,0
addition_instances,M2,1,WarmStart,1001102,1500,1490,3492.50282253429,0,1,200,0.2357928,3492.50282253429,0
addition_instances,M2,1,WarmStart,1001102,2500,2480,3492.50282253429,0,1,200,0.2357928,3492.50282253429,0
addition_instances,M2,1,Repair,1001103,500,38,3492.50282253429,0,1,0,0.0058762,3492.50282253429,0
addition_instances,M2,1,Repair,1001103,1000,38,3492.50282253429,0,1,0,0.0058762,3492.50282253429,0
addition_instances,M2,1,Repair,1001103,1500,38,3492.50282253429,0,1,0,0.0058762,3492.50282253429,0
addition_instances,M2,1,Repair,1001103,2500,38,3492.50282253429,0,1,0,0.0058762,3492.50282253429,0
addition_instances,M2,2,Restart,1001201,500,480,5553.8862101842,0.590174509241157,1,0,0.232703,3492.62686447826,0.590174509241157
addition_instances,M2,2,Restart,1001201,1000,990,5095.29289763026,0.458871243719705,1,0,0.232703,3492.62686447826,0.458871243719707
addition_instances,M2,2,Restart,1001201,1500,1500,4715.51362272753,0.350133812084716,1,0,0.232703,3492.62686447826,0.350133812084718
addition_instances,M2,2,Restart,1001201,2500,2490,4184.68142575368,0.198147293750143,1,0,0.232703,3492.62686447826,0.198147293750145
addition_instances,M2,2,WarmStart,1001202,500,500,3492.62686447826,0,1,200,0.2152177,3492.62686447826,0
addition_instances,M2,2,WarmStart,1001202,1000,980,3492.62686447826,0,1,200,0.2152177,3492.62686447826,0
addition_instances,M2,2,WarmStart,1001202,1500,1490,3492.62686447826,0,1,200,0.2152177,3492.62686447826,0
addition_instances,M2,2,WarmStart,1001202,2500,2480,3492.62686447826,0,1,200,0.2152177,3492.62686447826,0
addition_instances,M2,2,Repair,1001203,500,38,3492.62686447826,0,1,0,0.0030001,3492.62686447826,0
addition_instances,M2,2,Repair,1001203,1000,38,3492.62686447826,0,1,0,0.0030001,3492.62686447826,0
addition_instances,M2,2,Repair,1001203,1500,38,3492.62686447826,0,1,0,0.0030001,3492.62686447826,0
addition_instances,M2,2,Repair,1001203,2500,38,3492.62686447826,0,1,0,0.0030001,3492.62686447826,0
addition_instances,M2,3,Restart,1001301,500,480,5800.08370420377,0.661606004443337,1,0,0.2109742,3490.64922050934,0.661606004443336
addition_instances,M2,3,Restart,1001301,1000,990,5163.14088326954,0.47913484200402,1,0,0.2109742,3490.64922050934,0.47913484200402
addition_instances,M2,3,Restart,1001301,1500,1500,4763.46488181948,0.364635797212652,1,0,0.2109742,3490.64922050934,0.36463579721265
addition_instances,M2,3,Restart,1001301,2500,2490,4763.46488181948,0.364635797212652,1,0,0.2109742,3490.64922050934,0.36463579721265
addition_instances,M2,3,WarmStart,1001302,500,500,3490.64922050934,0,1,200,0.2201543,3490.64922050934,0
addition_instances,M2,3,WarmStart,1001302,1000,980,3490.64922050934,0,1,200,0.2201543,3490.64922050934,0
addition_instances,M2,3,WarmStart,1001302,1500,1490,3490.64922050934,0,1,200,0.2201543,3490.64922050934,0
addition_instances,M2,3,WarmStart,1001302,2500,2480,3490.64922050934,0,1,200,0.2201543,3490.64922050934,0
addition_instances,M2,3,Repair,1001303,500,38,3490.64922050934,0,1,0,0.0030872,3490.64922050934,0
addition_instances,M2,3,Repair,1001303,1000,38,3490.64922050934,0,1,0,0.0030872,3490.64922050934,0
addition_instances,M2,3,Repair,1001303,1500,38,3490.64922050934,0,1,0,0.0030872,3490.64922050934,0
addition_instances,M2,3,Repair,1001303,2500,38,3490.64922050934,0,1,0,0.0030872,3490.64922050934,0
addition_instances,M2,4,Restart,1001401,500,480,6673.33958639776,0.909712136972993,1,0,0.230769,3494.42172838436,0.909712136972994
addition_instances,M2,4,Restart,1001401,1000,990,6462.68106979696,0.849427908858889,1,0,0.230769,3494.42172838436,0.849427908858892
addition_instances,M2,4,Restart,1001401,1500,1500,5867.91721956215,0.679224110787328,1,0,0.230769,3494.42172838436,0.67922411078733
addition_instances,M2,4,Restart,1001401,2500,2490,4615.35540251614,0.320778017440396,1,0,0.230769,3494.42172838436,0.320778017440397
addition_instances,M2,4,WarmStart,1001402,500,500,3494.42172838436,0,1,200,0.2171896,3494.42172838436,0
addition_instances,M2,4,WarmStart,1001402,1000,980,3494.42172838436,0,1,200,0.2171896,3494.42172838436,0
addition_instances,M2,4,WarmStart,1001402,1500,1490,3494.42172838436,0,1,200,0.2171896,3494.42172838436,0
addition_instances,M2,4,WarmStart,1001402,2500,2480,3494.42172838436,0,1,200,0.2171896,3494.42172838436,0
addition_instances,M2,4,Repair,1001403,500,38,3494.42172838436,0,1,0,0.003074,3494.42172838436,0
addition_instances,M2,4,Repair,1001403,1000,38,3494.42172838436,0,1,0,0.003074,3494.42172838436,0
addition_instances,M2,4,Repair,1001403,1500,38,3494.42172838436,0,1,0,0.003074,3494.42172838436,0
addition_instances,M2,4,Repair,1001403,2500,38,3494.42172838436,0,1,0,0.003074,3494.42172838436,0
