dataset,level,instance,strategy,budget,gap_to_bks,insertion_ratio,mean_detour_ratio,max_detour_ratio,min_slack,critical_count,n_add
addition_instances,M2,1,Restart,500,0.49115024700438,0.000752321371960284,1,1,80,0,2
addition_instances,M2,1,Restart,1000,0.513366921637655,0.000752321371960284,1,1,80,0,2
addition_instances,M2,1,Restart,1500,0.302292390199841,0.000752321371960284,1,1,80,0,2
addition_instances,M2,1,Restart,2500,0.392894108977436,0.000752321371960284,1,1,80,0,2
addition_instances,M2,1,WarmStart,500,0,0.000752321371960284,1,1,80,0,2
addition_instances,M2,1,WarmStart,1000,0,0.000752321371960284,1,1,80,0,2
addition_instances,M2,1,WarmStart,1500,0,0.000752321371960284,1,1,80,0,2
addition_instances,M2,1,WarmStart,2500,0,0.000752321371960284,1,1,80,0,2
addition_instances,M2,1,Repair,500,0,0.000752321371960284,1,1,80,0,2
addition_instances,M2,1,Repair,1000,0,0.000752321371960284,1,1,80,0,2
addition_instances,M2,1,Repair,1500,0,0.000752321371960284,1,1,80,0,2
addition_instances,M2,1,Repair,2500,0,0.000752321371960284,1,1,80,0,2
addition_instances,M2,2,Restart,500,0.883309382202189,0.000787864725733693,1,1,80,0,2
addition_instances,M2,2,Restart,1000,0.648112922891466,0.000787864725733693,1,1,80,0,2
addition_instances,M2,2,Restart,1500,0.652842828113101,0.000787864725733693,1,1,80,0,2
addition_instances,M2,2,Restart,2500,0.305341226540222,0.000787864725733693,1,1,80,0,2
addition_instances,M2,2,WarmStart,500,0,0.000787864725733693,1,1,80,0,2
addition_instances,M2,2,WarmStart,1000,0,0.000787864725733693,1,1,80,0,2
addition_instances,M2,2,WarmStart,1500,0,0.000787864725733693,1,1,80,0,2
addition_instances,M2,2,WarmStart,2500,0,0.000787864725733693,1,1,80,0,2
addition_instances,M2,2,Repair,500,0,0.000787864725733693,1,1,80,0,2
addition_instances,M2,2,Repair,1000,0,0.000787864725733693,1,1,80,0,2
addition_instances,M2,2,Repair,1500,0,0.000787864725733693,1,1,80,0,2
addition_instances,M2,2,Repair,2500,0,0.000787864725733693,1,1,80,0,2
addition_instances,M2,3,Restart,500,0.685381959716504,0.00022118464176093,0.5,1,80,0,2
addition_instances,M2,3,Restart,1000,0.409162992871128,0.00022118464176093,0.5,1,80,0,2
addition_instances,M2,3,Restart,1500,0.106492439773802,0.00022118464176093,0.5,1,80,0,2
addition_instances,M2,3,Restart,2500,0.311664582249762,0.00022118464176093,0.5,1,80,0,2
addition_instances,M2,3,WarmStart,500,0,0.00022118464176093,0.5,1,80,0,2
addition_instances,M2,3,WarmStart,1000,0,0.00022118464176093,0.5,1,80,0,2
addition_instances,M2,3,WarmStart,1500,0,0.00022118464176093,0.5,1,80,0,2
addition_instances,M2,3,WarmStart,2500,0,0.00022118464176093,0.5,1,80,0,2
addition_instances,M2,3,Repair,500,0,0.00022118464176093,0.5,1,80,0,2
addition_instances,M2,3,Repair,1000,0,0.00022118464176093,0.5,1,80,0,2
addition_instances,M2,3,Repair,1500,0,0.00022118464176093,0.5,1,80,0,2
addition_instances,M2,3,Repair,2500,0,0.00022118464176093,0.5,1,80,0,2
addition_instances,M2,4,Restart,500,0.841799440802325,0.00130217045771116,1,1,80,0,2
addition_instances,M2,4,Restart,1000,0.550412866606367,0.00130217045771116,1,1,80,0,2
addition_instances,M2,4,Restart,1500,0.367363739905148,0.00130217045771116,1,1,80,0,2
addition_instances,M2,4,Restart,2500,0.670121762980347,0.00130217045771116,1,1,80,0,2
addition_instances,M2,4,WarmStart,500,0,0.00130217045771116,1,1,80,0,2
addition_instances,M2,4,WarmStart,1000,0,0.00130217045771116,1,1,80,0,2
addition_instances,M2,4,WarmStart,1500,0,0.00130217045771116,1,1,80,0,2
addition_instances,M2,4,WarmStart,2500,0,0.00130217045771116,1,1,80,0,2
addition_instances,M2,4,Repair,500,0,0.00130217045771116,1,1,80,0,2
addition_instances,M2,4,Repair,1000,0,0.00130217045771116,1,1,80,0,2
addition_instances,M2,4,Repair,1500,0,0.00130217045771116,1,1,80,0,2
addition_instances,M2,4,Repair,2500,0,0.00130217045771116,1,1,80,0,2
addition_instances,M2,5,Restart,500,0.771400323031454,0.000819733531631232,1,1,80,0,2
addition_instances,M2,5,Restart,1000,0.321434807160737,0.000819733531631232,1,1,80,0,2
addition_instances,M2,5,Restart,1500,0.300880461753087,0.000819733531631232,1,1,80,0,2
addition_instances,M2,5,Restart,2500,0.246554829408878,0.000819733531631232,1,1,80,0,2
addition_instances,M2,5,WarmStart,500,0,0.000819733531631232,1,1,80,0,2
addition_instances,M2,5,WarmStart,1000,0,0.000819733531631232,1,1,80,0,2
addition_instances,M2,5,WarmStart,1500,0,0.000819733531631232,1,1,80,0,2
addition_instances,M2,5,WarmStart,2500,0,0.000819733531631232,1,1,80,0,2
addition_instances,M2,5,Repair,500,0,0.000819733531631232,1,1,80,0,2
addition_instances,M2,5,Repair,1000,0,0.000819733531631232,1,1,80,0,2
addition_instances,M2,5,Repair,1500,0,0.000819733531631232,1,1,80,0,2
addition_instances,M2,5,Repair,2500,0,0.000819733531631232,1,1,80,0,2
addition_instances,M2,6,Restart,500,0.764366094363753,0.000359148455361109,1,1,80,0,2
addition_instances,M2,6,Restart,1000,0.555099769546677,0.000359148455361109,1,1,80,0,2
addition_instances,M2,6,Restart,1500,0.380635726876041,0.000359148455361109,1,1,80,0,2
addition_instances,M2,6,Restart,2500,0.409435163799272,0.000359148455361109,1,1,80,0,2
addition_instances,M2,6,WarmStart,500,0,0.000359148455361109,1,1,80,0,2
addition_instances,M2,6,WarmStart,1000,0,0.000359148455361109,1,1,80,0,2
addition_instances,M2,6,WarmStart,1500,0,0.000359148455361109,1,1,80,0,2
addition_instances,M2,6,WarmStart,2500,0,0.000359148455361109,1,1,80,0,2
addition_instances,M2,6,Repair,500,0,0.000359148455361109,1,1,80,0,2
addition_instances,M2,6,Repair,1000,0,0.000359148455361109,1,1,80,0,2
addition_instances,M2,6,Repair,1500,0,0.000359148455361109,1,1,80,0,2
addition_instances,M2,6,Repair,2500,0,0.000359148455361109,1,1,80,0,2
addition_instances,M2,7,Restart,500,0.687866107876635,0.000351550177096208,1,1,80,0,2
addition_instances,M2,7,Restart,1000,0.551388632796081,0.000351550177096208,1,1,80,0,2
addition_instances,M2,7,Restart,1500,0.752889612562,0.000351550177096208,1,1,80,0,2
addition_instances,M2,7,Restart,2500,0.498423161592692,0.000351550177096208,1,1,80,0,2
addition_instances,M2,7,WarmStart,500,0,0.000351550177096208,1,1,80,0,2
addition_instances,M2,7,WarmStart,1000,0,0.000351550177096208,1,1,80,0,2
addition_instances,M2,7,WarmStart,1500,0,0.000351550177096208,1,1,80,0,2
addition_instances,M2,7,WarmStart,2500,0,0.000351550177096208,1,1,80,0,2
addition_instances,M2,7,Repair,500,0,0.000351550177096208,1,1,80,0,2
addition_instances,M2,7,Repair,1000,0,0.000351550177096208,1,1,80,0,2
addition_instances,M2,7,Repair,1500,0,0.000351550177096208,1,1,80,0,2
addition_instances,M2,7,Repair,2500,0,0.000351550177096208,1,1,80,0,2
addition_instances,M2,8,Restart,500,0.714308541704293,0.000352435270465089,1,1,80,0,2
addition_instances,M2,8,Restart,1000,0.691499424073471,0.000352435270465089,1,1,80,0,2
addition_instances,M2,8,Restart,1500,0.186765096539938,0.000352435270465089,1,1,80,0,2
addition_instances,M2,8,Restart,2500,0.372532854148641,0.000352435270465089,1,1,80,0,2
addition_instances,M2,8,WarmStart,500,0,0.000352435270465089,1,1,80,0,2
addition_instances,M2,8,WarmStart,1000,0,0.000352435270465089,1,1,80,0,2
addition_instances,M2,8,WarmStart,1500,0,0.000352435270465089,1,1,80,0,2
addition_instances,M2,8,WarmStart,2500,0,0.000352435270465089,1,1,80,0,2
addition_instances,M2,8,Repair,500,0,0.000352435270465089,1,1,80,0,2
addition_instances,M2,8,Repair,1000,0,0.000352435270465089,1,1,80,0,2
addition_instances,M2,8,Repair,1500,0,0.000352435270465089,1,1,80,0,2
addition_instances,M2,8,Repair,2500,0,0.000352435270465089,1,1,80,0,2
addition_instances,M2,9,Restart,500,0.682287168124095,0.000202816044339349,0.5,1,80,0,2
addition_instances,M2,9,Restart,1000,0.152702110645213,0.000202816044339349,0.5,1,80,0,2
